name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,trajectory,seed,preconditioner_family,layers,sweeps
baseline,28,176.9127493817959,176.91274938179572,,2,2.8654630184173584,0.012086868286132812,0.0,0001110000111110010101100110,---+++----+++++--+-+-++--++-,0,True,"[[0.000148, 216.86669539], [0.009778, 209.50001618], [0.010944, 208.20871177], [0.011437, 202.70027902], [0.012087, 176.91274938]]",0,quantum,2,
precond_pen=1.100,28,-3.6638403249589953,176.91274938179572,1.1,2,0.8340580463409424,0.009360074996948242,0.0,1110001111000001101010011001,+++---++++-----++-+-+--++--+,0,True,"[[0.000111, 216.86669539], [0.008883, 198.77856309], [0.00936, 176.91274938]]",0,quantum,2,
precond_pen=1.200,28,-3.219739814484994,176.91274938179572,1.2,2,1.1057989597320557,0.0092010498046875,0.0,1110001111000001101010011001,+++---++++-----++-+-+--++--+,0,True,"[[0.000129, 216.86669539], [0.008762, 201.44335867], [0.009201, 176.91274938]]",0,quantum,2,
precond_pen=1.300,28,-2.888862567819004,176.91274938179572,1.3,2,1.5805189609527588,0.009530067443847656,0.0,1110001111000001101010011001,+++---++++-----++-+-+--++--+,0,True,"[[0.000118, 216.86669539], [0.008957, 197.00172397], [0.00953, 176.91274938]]",0,quantum,2,
precond_pen=1.400,28,-2.6320463215579935,176.91274938179572,1.4,2,1.4178988933563232,0.010138988494873047,0.0,1110001111000001101010011001,+++---++++-----++-+-+--++--+,0,True,"[[0.000124, 216.86669539], [0.009541, 205.34236877], [0.010139, 176.91274938]]",0,quantum,2,
precond_pen=1.500,28,-2.4265329425090094,176.91274938179572,1.5,2,1.4371099472045898,0.010905981063842773,0.0,1110001111000001101010011001,+++---++++-----++-+-+--++--+,0,True,"[[0.000165, 216.86669539], [0.010276, 205.34236877], [0.010906, 176.91274938]]",0,quantum,2,
precond_pen=1.600,28,-2.388295266144006,176.91274938179572,1.6,2,1.7790248394012451,0.011770963668823242,0.0,1110001111000001101010011001,+++---++++-----++-+-+--++--+,0,True,"[[0.00011, 216.86669539], [0.011261, 198.46189511], [0.011771, 176.91274938]]",0,quantum,2,
precond_pen=1.700,28,-2.8108773106209926,177.5428095635158,1.7,2,0.3825831413269043,0.011542081832885742,0.0,1010001111100001101010011001,+-+---+++++----++-+-+--++--+,0,True,"[[0.00011, 216.86669539], [0.008757, 208.96796155], [0.010404, 208.65693995], [0.011542, 177.54280956]]",0,quantum,2,
precond_pen=1.800,28,-5.229162992250007,176.91274938179572,1.8,2,0.46216607093811035,0.011571168899536133,0.0,1110001111000001101010011001,+++---++++-----++-+-+--++--+,0,True,"[[0.00011, 216.86669539], [0.009756, 210.79512656], [0.010339, 208.20871177], [0.010821, 205.83388779], [0.011571, 176.91274938]]",0,quantum,2,
precond_pen=1.900,28,-2.7154697002389945,177.5428095635158,1.9,2,0.36533403396606445,0.0091400146484375,0.0,1010001111100001101010011001,+-+---+++++----++-+-+--++--+,0,True,"[[0.000103, 216.86669539], [0.00834, 214.99725577], [0.00914, 177.54280956]]",0,quantum,2,
precond_pen=2.000,28,-1.8055462161289935,176.91274938179572,2.0,2,1.4926090240478516,0.00923299789428711,0.0,1110001111000001101010011001,+++---++++-----++-+-+--++--+,0,True,"[[0.000104, 216.86669539], [0.00872, 196.35948219], [0.009233, 176.91274938]]",0,quantum,2,
baseline,28,164.34075451243604,164.3407545124361,,2,4.6487791538238525,4.556514024734497,0.0,1010001101000111011001001011,+-+---++-+---+++-++--+--+-++,0,True,"[[0.000104, 189.51579027], [0.008146, 188.53795766], [0.00869, 165.80522431], [0.142475, 165.52263042], [2.931296, 164.80784601], [4.556514, 164.34075451], [4.647749, 164.34075451]]",1,quantum,2,
precond_pen=1.100,28,-2.886361257395004,164.3407545124361,1.1,2,1.9142298698425293,1.065845012664795,0.0,0101110010111000100110110100,-+-+++--+-+++---+--++-++-+--,0,True,"[[0.000114, 189.51579027], [0.008897, 179.92801043], [0.0102, 166.62384478], [0.035946, 166.56110986], [0.038853, 164.80784601], [1.065845, 164.34075451], [1.912425, 164.34075451]]",1,quantum,2,
precond_pen=1.200,28,-2.5820629856320103,164.3407545124361,1.2,2,3.09466814994812,0.057734012603759766,0.0,0101110010111000100110110100,-+-+++--+-+++---+--++-++-+--,0,True,"[[0.000127, 189.51579027], [0.010082, 185.29380728], [0.010853, 165.77754011], [0.057734, 164.34075451]]",1,quantum,2,
precond_pen=1.300,28,-2.3486145342859928,164.3407545124361,1.3,2,3.182948112487793,0.04348897933959961,0.0,0101110010111000100110110100,-+-+++--+-+++---+--++-++-+--,0,True,"[[0.00012, 189.51579027], [0.011096, 184.05019797], [0.011848, 165.77754011], [0.043489, 164.34075451]]",1,quantum,2,
precond_pen=1.400,28,-2.1634566151729864,164.3407545124361,1.4,2,3.998054027557373,2.343538999557495,0.0,1010001101000111011001001011,+-+---++-+---+++-++--+--+-++,0,True,"[[0.000126, 189.51579027], [0.010933, 189.15009071], [0.011526, 166.60795418], [0.04577, 165.77754011], [1.235747, 165.52263042], [1.541408, 164.95918572], [1.832267, 164.80784601], [2.343539, 164.34075451], [3.994939, 164.34075451]]",1,quantum,2,
precond_pen=1.500,28,-2.0127685653110063,164.3407545124361,1.5,2,3.1764371395111084,3.000169038772583,0.0,1010001101000111011001001011,+-+---++-+---+++-++--+--+-++,0,True,"[[0.000106, 189.51579027], [0.009101, 165.80522431], [0.028734, 165.02502681], [1.780758, 164.80784601], [3.000169, 164.34075451]]",1,quantum,2,
precond_pen=1.600,28,-1.9821440035329871,164.3407545124361,1.6,2,3.0461249351501465,1.739753007888794,0.0,0101110010111000100110110100,-+-+++--+-+++---+--++-++-+--,0,True,"[[0.000127, 189.51579027], [0.010909, 165.80522431], [0.046597, 165.02502681], [1.45325, 164.95918572], [1.739753, 164.34075451]]",1,quantum,2,
precond_pen=1.700,28,-1.7818425002649967,164.3407545124361,1.7,2,2.979620933532715,1.6460440158843994,0.0,1010001101000111011001001011,+-+---++-+---+++-++--+--+-++,0,True,"[[0.000111, 189.51579027], [0.008332, 189.52649862], [0.008854, 166.51968146], [0.041553, 165.02502681], [1.646044, 164.34075451], [2.978811, 164.34075451]]",1,quantum,2,
precond_pen=1.800,28,-1.9336718872510072,164.95918571790793,1.8,2,0.5585319995880127,0.008626937866210938,0.0,1100100111110000001010111100,++--+--+++++------+-+-++++--,0,True,"[[0.000105, 189.51579027], [0.007177, 186.64488907], [0.008627, 164.95918572]]",1,quantum,2,
precond_pen=1.900,28,-4.110402604323989,164.95918571790793,1.9,2,0.9166641235351562,0.8066940307617188,0.0,1100100111110000001010111100,++--+--+++++------+-+-++++--,0,True,"[[0.000107, 189.51579027], [0.009366, 179.62387558], [0.011583, 165.52263042], [0.806694, 164.95918572], [0.916051, 164.95918572]]",1,quantum,2,
precond_pen=2.000,28,-1.675778915273007,164.95918571790793,2.0,2,0.8292529582977295,0.008157968521118164,0.0,1100100111110000001010111100,++--+--+++++------+-+-++++--,0,True,"[[0.000107, 189.51579027], [0.00682, 191.2954101], [0.007366, 186.28579451], [0.007737, 181.5135466], [0.008158, 164.95918572]]",1,quantum,2,
baseline,28,165.79827070364917,165.798270703649,,2,3.1116509437561035,0.8419559001922607,0.0,0101001111100110101010000110,-+-+--+++++--++-+-+-+----++-,0,True,"[[0.000109, 184.10834611], [0.007174, 171.96795728], [0.583706, 171.37074414], [0.640879, 167.09271777], [0.67273, 165.84205169], [0.841956, 165.7982707]]",2,quantum,2,
precond_pen=1.100,28,-2.6266581343950204,165.84205169187703,1.1,2,1.7109270095825195,0.04432106018066406,0.0,0101001111000110101110000110,-+-+--++++---++-+-+++----++-,0,True,"[[0.000108, 184.10834611], [0.011702, 175.95853428], [0.012392, 169.29027616], [0.044321, 165.84205169]]",2,quantum,2,
precond_pen=1.200,28,-2.9122089917399876,165.84205169187703,1.2,2,1.4678239822387695,0.03208208084106445,0.0,0101001111000110101110000110,-+-+--++++---++-+-+++----++-,0,True,"[[0.000114, 184.10834611], [0.008768, 177.9731566], [0.010061, 167.71802224], [0.032082, 165.84205169]]",2,quantum,2,
precond_pen=1.300,28,-2.6296438699049993,165.84205169187703,1.3,2,1.724869966506958,0.04280209541320801,0.0,0101001111000110101110000110,-+-+--++++---++-+-+++----++-,0,True,"[[0.000103, 184.10834611], [0.010474, 177.25568316], [0.011271, 169.29027616], [0.042802, 165.84205169]]",2,quantum,2,
precond_pen=1.400,28,-2.4080713666879863,165.84205169187703,1.4,2,2.1122469902038574,0.008981943130493164,0.0,0101001111000110101110000110,-+-+--++++---++-+-+++----++-,0,True,"[[0.000105, 184.10834611], [0.008982, 165.84205169]]",2,quantum,2,
precond_pen=1.500,28,-2.229350047718002,165.84205169187703,1.5,2,1.7254219055175781,0.009443998336791992,0.0,0101001111000110101110000110,-+-+--++++---++-+-+++----++-,0,True,"[[0.000107, 184.10834611], [0.009444, 165.84205169]]",2,quantum,2,
precond_pen=1.600,28,-2.081954561966997,165.84205169187703,1.6,2,1.8202779293060303,0.011255979537963867,0.0,0101001111000110101110000110,-+-+--++++---++-+-+++----++-,0,True,"[[0.000116, 184.10834611], [0.011256, 165.84205169]]",2,quantum,2,
precond_pen=1.700,28,-1.9581668255020066,165.84205169187703,1.7,2,1.7070558071136475,0.009734869003295898,0.0,1010110000111001010001111001,+-+-++----+++--+-+---++++--+,0,True,"[[0.000105, 184.10834611], [0.009003, 183.49190207], [0.009735, 165.84205169]]",2,quantum,2,
precond_pen=1.800,28,-1.9196974234389845,165.84205169187703,1.8,2,0.6838760375976562,0.05602598190307617,0.0,1010110000111001010001111001,+-+-++----+++--+-+---++++--+,0,True,"[[0.000102, 184.10834611], [0.006913, 185.87077541], [0.007478, 168.18043903], [0.056026, 165.84205169]]",2,quantum,2,
precond_pen=1.900,28,-1.8663585866809953,165.84205169187703,1.9,2,0.7362809181213379,0.4103090763092041,0.0,0101001111000110101110000110,-+-+--++++---++-+-+++----++-,0,True,"[[0.000102, 184.10834611], [0.006544, 185.30324317], [0.007062, 186.20763957], [0.007731, 168.18043903], [0.087602, 169.97044445], [0.354716, 174.90225188], [0.410309, 165.84205169], [0.73553, 165.84205169]]",2,quantum,2,
precond_pen=2.000,28,-1.6407634113810232,165.84205169187703,2.0,2,0.8583528995513916,0.16739892959594727,0.0,0101001111000110101110000110,-+-+--++++---++-+-+++----++-,0,True,"[[0.000106, 184.10834611], [0.007039, 175.59431204], [0.116559, 172.36617335], [0.167399, 165.84205169]]",2,quantum,2,
baseline,28,169.85007589582392,169.85007589582403,,2,2.5925228595733643,0.010228872299194336,0.0,1001001101010011111100101000,+--+--++-+-+--++++++--+-+---,0,True,"[[0.000107, 208.90331006], [0.007584, 203.13903248], [0.009259, 202.85982487], [0.010229, 169.8500759]]",3,quantum,2,
precond_pen=1.100,28,-3.2607274281360112,169.85007589582403,1.1,2,0.8906822204589844,0.011718988418579102,0.0,0110110010101100000011010111,-++-++--+-+-++------++-+-+++,0,True,"[[0.000107, 208.90331006], [0.01007, 186.88283867], [0.011719, 169.8500759]]",3,quantum,2,
precond_pen=1.200,28,-2.901987412863006,169.85007589582403,1.2,2,1.1993660926818848,0.011007070541381836,0.0,0110110010101100000011010111,-++-++--+-+-++------++-+-+++,0,True,"[[0.000106, 208.90331006], [0.010371, 190.79624425], [0.011007, 169.8500759]]",3,quantum,2,
precond_pen=1.300,28,-2.6282437097090092,169.85007589582403,1.3,2,1.5735540390014648,0.042613983154296875,0.0,1001001101010011111100101000,+--+--++-+-+--++++++--+-+---,0,True,"[[0.000111, 208.90331006], [0.010596, 194.32538106], [0.011224, 177.88381508], [0.042614, 169.8500759]]",3,quantum,2,
precond_pen=1.400,28,-2.72129004747201,169.85007589582403,1.4,2,1.1306040287017822,0.040331125259399414,0.0,0110110010101100000011010111,-++-++--+-+-++------++-+-+++,0,True,"[[0.000112, 208.90331006], [0.009153, 193.64299809], [0.010891, 171.3318387], [0.040331, 169.8500759]]",3,quantum,2,
precond_pen=1.500,28,-2.1673281673460023,173.19106118933195,1.5,2,0.399852991104126,0.009104013442993164,0.0,1000001101010011111100011100,+-----++-+-+--++++++---+++--,0,True,"[[0.000114, 208.90331006], [0.007635, 207.42012255], [0.008054, 206.49809696], [0.00841, 206.41479505], [0.009104, 173.19106119]]",3,quantum,2,
precond_pen=1.600,28,-2.2234907887559903,173.19106118933195,1.6,2,0.3078958988189697,0.008842945098876953,0.0,0111110010101100000011100011,-+++++--+-+-++------+++---++,0,True,"[[0.000109, 208.90331006], [0.007161, 207.42012255], [0.008065, 206.05693933], [0.008843, 173.19106119]]",3,quantum,2,
precond_pen=1.700,28,-2.2377408750449934,170.16100371295607,1.7,2,0.3949239253997803,0.009896993637084961,0.0,1001001101010011111100001100,+--+--++-+-+--++++++----++--,0,True,"[[0.000104, 208.90331006], [0.007607, 200.48733356], [0.00837, 206.49809696], [0.008946, 205.04320082], [0.009897, 170.16100371]]",3,quantum,2,
precond_pen=1.800,28,-4.888096873053003,169.85007589582403,1.8,2,0.42534303665161133,0.010080099105834961,0.0,1001001101010011111100101000,+--+--++-+-+--++++++--+-+---,0,True,"[[0.000113, 208.90331006], [0.008281, 190.10924871], [0.01008, 169.8500759]]",3,quantum,2,
precond_pen=1.900,28,-2.1412025870420415,170.16100371295607,1.9,2,0.5270400047302246,0.010203123092651367,0.0,1001001101010011111100001100,+--+--++-+-+--++++++----++--,0,True,"[[0.000111, 208.90331006], [0.007433, 204.11610044], [0.00889, 206.49809696], [0.009485, 201.80502241], [0.010203, 170.16100371]]",3,quantum,2,
precond_pen=2.000,28,-2.2772629179559942,170.16100371295607,2.0,2,0.3888390064239502,0.0077860355377197266,0.0,1001001101010011111100001100,+--+--++-+-+--++++++----++--,0,True,"[[0.000109, 208.90331006], [0.006407, 205.62165223], [0.006706, 207.63606936], [0.007114, 207.75558397], [0.007786, 170.16100371]]",3,quantum,2,
baseline,28,185.70475249517415,185.70475249517403,,2,4.4055681228637695,4.278855800628662,0.0,1001011101011000001010111010,+--+-+++-+-++-----+-+-+++-+-,0,True,"[[0.000103, 209.69549112], [0.006665, 201.66607549], [0.008021, 188.11622948], [0.115673, 186.87216314], [0.115903, 186.34332473], [4.278856, 185.7047525], [4.404624, 185.7047525]]",4,quantum,2,
