name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,trajectory,seed,preconditioner_family,layers,sweeps
baseline,16,52.153185832214,52.15318583221401,,2,0.1019589900970459,0.0065419673919677734,0.0,1100001101100101,++----++-++--+-+,0,False,"[[0.000191, 73.03745402], [0.006318, 70.50479998], [0.006542, 52.15318583]]",0,quantum,3,
precond_pen=1.100,16,-23.743623536088997,52.15318583221401,1.1,2,0.013484001159667969,0.004866123199462891,0.0,0011110010011010,--++++--+--++-+-,0,False,"[[0.000146, 73.03745402], [0.003862, 66.97401716], [0.004458, 65.87958235], [0.004866, 52.15318583]]",0,quantum,3,
precond_pen=1.200,16,-5.869964082471001,52.15318583221401,1.2,2,0.01700305938720703,0.004281044006347656,0.0,0011110010011010,--++++--+--++-+-,0,False,"[[0.000135, 73.03745402], [0.003527, 64.45102817], [0.003952, 61.75809125], [0.004281, 52.15318583]]",0,quantum,3,
precond_pen=1.300,16,-26.291482962729,52.15318583221401,1.3,2,0.011024951934814453,0.0026900768280029297,0.0,0011110010011010,--++++--+--++-+-,0,False,"[[0.000124, 73.03745402], [0.00269, 52.15318583]]",0,quantum,3,
precond_pen=1.400,16,-2.5332528088769983,52.15318583221401,1.4,2,0.02397608757019043,0.0031762123107910156,0.0,1100001101100101,++----++-++--+-+,0,False,"[[0.000121, 73.03745402], [0.00302, 67.07030629], [0.003176, 52.15318583]]",0,quantum,3,
precond_pen=1.500,16,-19.643614268695995,52.15318583221401,1.5,2,0.012312889099121094,0.0034148693084716797,0.0,0011110010011010,--++++--+--++-+-,0,False,"[[0.000129, 73.03745402], [0.002982, 56.59439772], [0.003415, 52.15318583]]",0,quantum,3,
precond_pen=1.600,16,-13.808151480865005,52.15318583221401,1.6,2,0.013927936553955078,0.004043102264404297,0.0,1100001101100101,++----++-++--+-+,0,False,"[[0.000147, 73.03745402], [0.003783, 61.75809125], [0.004043, 52.15318583]]",0,quantum,3,
precond_pen=1.700,16,-26.101845852893003,52.15318583221401,1.7,2,0.013923883438110352,0.004078865051269531,0.0,0011110010011010,--++++--+--++-+-,0,False,"[[0.000136, 73.03745402], [0.0031, 62.40598908], [0.00371, 61.75809125], [0.004079, 52.15318583]]",0,quantum,3,
precond_pen=1.800,16,-24.737386606835003,52.15318583221401,1.8,2,0.013589859008789062,0.004023075103759766,0.0,1100001101100101,++----++-++--+-+,0,False,"[[0.000129, 73.03745402], [0.003419, 59.52436591], [0.004023, 52.15318583]]",0,quantum,3,
precond_pen=1.900,16,-27.120263254895,52.15318583221401,1.9,2,0.013598918914794922,0.0036509037017822266,0.0,0011110010011010,--++++--+--++-+-,0,False,"[[0.000127, 73.03745402], [0.003255, 54.33682695], [0.003651, 52.15318583]]",0,quantum,3,
