name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,mip_gap,x_bits,z_bits,sum_z,seed,layers,data_root
precond_pen=0.400,32,-9.270082593600009,212.17555246111118,0.4,2,1.5762989521026611,0.0,11010001111011010111000000011001,++-+---++++-++-+-+++-------++--+,0,35,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,217.58796155032604,217.5879615503261,,2,262.1452338695526,0.0,10110111110000000010110001110110,+-++-+++++--------+-++---+++-++-,0,36,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-16.111159509652996,219.1298840421299,0.2,2,1.948387861251831,0.0,10010111110101100010100001010110,+--+-+++++-+-++---+-+----+-+-++-,0,36,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-17.073949600411996,218.41931962763584,0.3,2,0.6613049507141113,0.0,01100000101011011101011110001001,-++-----+-+-++-+++-+-++++---+--+,0,36,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-8.881461977303008,217.5879615503261,0.4,2,1.1422150135040283,0.0,01001000001111111101001110001001,-+--+-----++++++++-+--+++---+--+,0,36,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,214.33289297853304,214.33289297853307,,2,306.08292603492737,0.0,00011100111110101010101010101000,---+++--+++++-+-+-+-+-+-+-+-+---,0,37,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,32,-15.525077684948013,214.9132132592588,0.2,2,1.7214529514312744,0.0,00011100111011101000001011111000,---+++--+++-+++-+-----+-+++++---,0,37,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,32,-15.902233639427001,214.9132132592588,0.3,2,1.262808084487915,0.0,00011100111011101000001011111000,---+++--+++-+++-+-----+-+++++---,0,37,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,32,-8.384782557178998,214.41785097634315,0.4,2,2.0977468490600586,0.0,00010100111011111000000111111000,---+-+--+++-+++++------++++++---,0,37,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,32,210.7152330858452,210.71523308584509,,2,219.37198305130005,0.0,11001000011010111100001011101001,++--+----++-+-++++----+-+++-+--+,0,38,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
