name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,trajectory,seed,layers,preconditioner_family,data_root
precond_p=inf,20,-190.0,87.591951440058,0.0,2,0.0018398761749267578,0.0014579296112060547,0.0,11001110101001010100,++--+++-+-+--+-+-+--,0,False,"[[2.6e-05, 107.78376111], [0.001458, 87.59195144]]",27,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,93.11912959467504,0.0,2,0.0020859241485595703,0.001569986343383789,0.0,11010010100101010011,++-+--+-+--+-+-+--++,0,False,"[[2.7e-05, 112.05868104], [0.00157, 93.11912959]]",28,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,82.22633297017099,0.0,2,0.0018498897552490234,0.00150299072265625,0.0,10001000000101111111,+---+------+-+++++++,0,False,"[[2.7e-05, 96.89743791], [0.001503, 82.22633297]]",29,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,84.71931037378405,0.0,2,0.0019669532775878906,0.0015218257904052734,0.0,10010101010001101011,+--+-+-+-+---++-+-++,0,False,"[[2.6e-05, 104.74225618], [0.001522, 84.71931037]]",30,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,87.90704881895097,0.0,2,0.0019309520721435547,0.001522064208984375,0.0,10011101010110011000,+--+++-+-+-++--++---,0,False,"[[2.6e-05, 99.48180469], [0.001522, 87.90704882]]",31,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,78.56180449337694,0.0,2,0.0020041465759277344,0.0015001296997070312,0.0,10100110011110100100,+-+--++--++++-+--+--,0,False,"[[3.1e-05, 95.23757289], [0.0015, 78.56180449]]",32,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,83.67726135948001,0.0,2,0.002020120620727539,0.0015041828155517578,0.0,10111010011101000100,+-+++-+--+++-+---+--,0,False,"[[2.6e-05, 100.54670181], [0.001504, 83.67726136]]",33,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,82.39623807549904,0.0,2,0.0020470619201660156,0.0015320777893066406,0.0,10000010001111011101,+-----+---++++-+++-+,0,False,"[[3.1e-05, 98.7367735], [0.001532, 82.39623808]]",34,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,79.00556704927007,0.0,2,0.0020630359649658203,0.00156402587890625,0.0,11010011011101010000,++-+--++-+++-+-+----,0,False,"[[3.2e-05, 95.2992115], [0.001564, 79.00556705]]",35,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,80.13639809201803,0.0,2,0.001744985580444336,0.001435995101928711,0.0,11011011000100101010,++-++-++---+--+-+-+-,0,False,"[[2.6e-05, 97.21051435], [0.001436, 80.13639809]]",36,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,79.03749319300896,0.0,2,0.0020911693572998047,0.0015301704406738281,0.0,11111000000111110000,+++++------+++++----,0,False,"[[2.6e-05, 94.91528326], [0.00153, 79.03749319]]",37,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,79.54594012645599,0.0,2,0.0017271041870117188,0.0014221668243408203,0.0,11111100110001010000,++++++--++---+-+----,0,False,"[[2.6e-05, 87.95403624], [0.001422, 79.54594013]]",38,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,77.70571533373409,0.0,2,0.001695871353149414,0.0013990402221679688,0.0,11011100010001001011,++-+++---+---+--+-++,0,False,"[[2.7e-05, 99.74755999], [0.001399, 77.70571533]]",39,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,81.61632994138799,0.0,2,0.0018510818481445312,0.0014760494232177734,0.0,11101101001100001010,+++-++-+--++----+-+-,0,False,"[[2.7e-05, 96.05167908], [0.001476, 81.61632994]]",40,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,94.43387874031103,0.0,2,0.001920938491821289,0.0014700889587402344,0.0,11101000001010111100,+++-+-----+-+-++++--,0,False,"[[2.7e-05, 105.37524093], [0.00147, 94.43387874]]",41,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,84.01773115394,0.0,2,0.001934051513671875,0.0014789104461669922,0.0,11011111000011100000,++-+++++----+++-----,0,False,"[[2.6e-05, 94.99804401], [0.001479, 84.01773115]]",42,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,85.59189281977801,0.0,2,0.0018351078033447266,0.0014750957489013672,0.0,10001001010111010011,+---+--+-+-+++-+--++,0,False,"[[2.6e-05, 103.42593599], [0.001475, 85.59189282]]",43,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,85.99376565754899,0.0,2,0.0020461082458496094,0.0015201568603515625,0.0,11001001010011010011,++--+--+-+--++-+--++,0,False,"[[2.6e-05, 110.22696221], [0.00152, 85.99376566]]",44,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,87.18365226728393,0.0,2,0.0017058849334716797,0.0014030933380126953,0.0,11010111101000000110,++-+-++++-+------++-,0,False,"[[2.6e-05, 102.95291853], [0.001403, 87.18365227]]",45,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,78.00730446917791,0.0,2,0.0017800331115722656,0.001455068588256836,0.0,10100101101101011000,+-+--+-++-++-+-++---,0,False,"[[2.6e-05, 93.48682256], [0.001455, 78.00730447]]",46,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,89.41175591807492,0.0,2,0.0018150806427001953,0.0014410018920898438,0.0,11000101101110001010,++---+-++-+++---+-+-,0,False,"[[2.6e-05, 110.47216124], [0.001441, 89.41175592]]",47,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,86.15627452997096,0.0,2,0.001990079879760742,0.0015180110931396484,0.0,10100110110100110100,+-+--++-++-+--++-+--,0,False,"[[2.7e-05, 96.43899889], [0.001518, 86.15627453]]",48,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,20,-190.0,81.73893395604502,0.0,2,0.0017910003662109375,0.0014810562133789062,0.0,11010101100100010101,++-+-+-++--+---+-+-+,0,False,"[[3.2e-05, 98.5611487], [0.001481, 81.73893396]]",49,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
