seed,layers,sweeps,preconditioner_family,name,penalty,presolve,event_idx,time_sec,orig_obj,running_best_orig_obj
0,,100,classical,baseline,,True,0,4.9e-05,151.31257109,151.31257109
0,,100,classical,baseline,,True,1,0.012278,130.11536851,130.11536851
0,,100,classical,precond_pen=0.000,0.0,True,0,5.2e-05,151.31257109,151.31257109
0,,100,classical,precond_pen=0.200,0.2,True,0,4.7e-05,151.31257109,151.31257109
0,,100,classical,precond_pen=0.400,0.4,True,0,4.3e-05,151.31257109,151.31257109
0,,100,classical,precond_pen=0.600,0.6,True,0,4.1e-05,151.31257109,151.31257109
0,,100,classical,precond_pen=0.800,0.8,True,0,5.1e-05,151.31257109,151.31257109
0,,100,classical,precond_pen=1.000,1.0,True,0,4.4e-05,151.31257109,151.31257109
1,,100,classical,baseline,,True,0,7.6e-05,151.85993202,151.85993202
1,,100,classical,baseline,,True,1,0.051159,148.32766763,148.32766763
1,,100,classical,baseline,,True,2,0.052239,121.02014177,121.02014177
1,,100,classical,precond_pen=0.000,0.0,True,0,5.9e-05,151.85993202,151.85993202
1,,100,classical,precond_pen=0.200,0.2,True,0,5.5e-05,151.85993202,151.85993202
1,,100,classical,precond_pen=0.400,0.4,True,0,5.4e-05,151.85993202,151.85993202
1,,100,classical,precond_pen=0.600,0.6,True,0,5.3e-05,151.85993202,151.85993202
1,,100,classical,precond_pen=0.800,0.8,True,0,5.2e-05,151.85993202,151.85993202
1,,100,classical,precond_pen=1.000,1.0,True,0,7.5e-05,151.85993202,151.85993202
2,,100,classical,baseline,,True,0,5.1e-05,146.89416462,146.89416462
2,,100,classical,baseline,,True,1,0.007979,145.95484003,145.95484003
2,,100,classical,baseline,,True,2,0.008706,145.34607912,145.34607912
2,,100,classical,baseline,,True,3,0.009272,141.85119029,141.85119029
2,,100,classical,baseline,,True,4,0.009809,119.81107703,119.81107703
2,,100,classical,precond_pen=0.000,0.0,True,0,5.4e-05,146.89416462,146.89416462
2,,100,classical,precond_pen=0.200,0.2,True,0,4.9e-05,146.89416462,146.89416462
2,,100,classical,precond_pen=0.400,0.4,True,0,5e-05,146.89416462,146.89416462
2,,100,classical,precond_pen=0.600,0.6,True,0,5.4e-05,146.89416462,146.89416462
2,,100,classical,precond_pen=0.800,0.8,True,0,5.2e-05,146.89416462,146.89416462
2,,100,classical,precond_pen=1.000,1.0,True,0,5.2e-05,146.89416462,146.89416462
3,,100,classical,baseline,,True,0,4.7e-05,146.3517384,146.3517384
3,,100,classical,baseline,,True,1,0.007175,144.71892395,144.71892395
3,,100,classical,baseline,,True,2,0.00793,144.12851781,144.12851781
3,,100,classical,baseline,,True,3,0.00867,125.6295774,125.6295774
3,,100,classical,precond_pen=0.000,0.0,True,0,5.6e-05,146.3517384,146.3517384
3,,100,classical,precond_pen=0.200,0.2,True,0,5e-05,146.3517384,146.3517384
3,,100,classical,precond_pen=0.400,0.4,True,0,5.1e-05,146.3517384,146.3517384
3,,100,classical,precond_pen=0.600,0.6,True,0,4.8e-05,146.3517384,146.3517384
3,,100,classical,precond_pen=0.800,0.8,True,0,5.1e-05,146.3517384,146.3517384
3,,100,classical,precond_pen=1.000,1.0,True,0,4.9e-05,146.3517384,146.3517384
4,,100,classical,baseline,,True,0,6.2e-05,163.78368209,163.78368209
4,,100,classical,baseline,,True,1,0.009944,163.51955531,163.51955531
4,,100,classical,baseline,,True,2,0.010835,141.19074867,141.19074867
4,,100,classical,baseline,,True,3,1.012564,139.47165956,139.47165956
4,,100,classical,baseline,,True,4,1.077977,137.49819129,137.49819129
4,,100,classical,precond_pen=0.000,0.0,True,0,5.3e-05,163.78368209,163.78368209
