name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,trajectory,seed,preconditioner_family,layers,sweeps
baseline,24,130.1153685081999,130.11536850820013,,2,0.6935429573059082,0.009762048721313477,0.0,111001011110010101000001,+++--+-++++--+-+-+-----+,0,True,"[[0.000186, 151.31257109], [0.00871, 147.53358726], [0.00938, 142.88581991], [0.009762, 130.11536851]]",0,quantum,2,
precond_pen=0.200,24,-21.018289036906957,130.82748979169813,0.2,2,0.16156792640686035,0.006648063659667969,0.0,000110001001101010111110,---++---+--++-+-+-+++++-,0,True,"[[0.000113, 151.31257109], [0.00579, 143.25888673], [0.006648, 130.82748979]]",0,quantum,2,
precond_pen=0.300,24,-33.56334346171,130.82748979169813,0.3,2,0.04196596145629883,0.006757974624633789,0.0,000110001001101010111110,---++---+--++-+-+-+++++-,0,True,"[[0.000115, 151.31257109], [0.006206, 145.47820912], [0.006758, 130.82748979]]",0,quantum,2,
precond_pen=0.400,24,-24.400106701987006,130.82748979169813,0.4,2,0.0476529598236084,0.006647825241088867,0.0,000110001001101010111110,---++---+--++-+-+-+++++-,0,True,"[[0.000116, 151.31257109], [0.005701, 139.85231314], [0.006648, 130.82748979]]",0,quantum,2,
precond_pen=0.500,24,-17.918413205738005,130.82748979169813,0.5,2,0.15758919715881348,0.0064029693603515625,0.0,111001110110010101000001,+++--+++-++--+-+-+-----+,0,True,"[[0.000109, 151.31257109], [0.005635, 144.00234798], [0.005942, 142.88581991], [0.006403, 130.82748979]]",0,quantum,2,
precond_pen=0.600,24,-13.324825808169994,130.82748979169813,0.6,2,0.16387391090393066,0.0068950653076171875,0.0,000110001001101010111110,---++---+--++-+-+-+++++-,0,True,"[[0.00011, 151.31257109], [0.005944, 143.41766186], [0.006895, 130.82748979]]",0,quantum,2,
precond_pen=0.700,24,-9.999793992628003,130.11536850820013,0.7,2,0.1702880859375,0.006372928619384766,0.0,000110100001101010111110,---++-+----++-+-+-+++++-,0,True,"[[0.000112, 151.31257109], [0.006011, 150.68441063], [0.006373, 130.11536851]]",0,quantum,2,
precond_pen=0.800,24,-7.7770039664820025,130.11536850820013,0.8,2,0.21535706520080566,0.006493091583251953,0.0,111001011110010101000001,+++--+-++++--+-+-+-----+,0,True,"[[0.00011, 151.31257109], [0.006493, 130.11536851]]",0,quantum,2,
precond_pen=1.000,24,-4.295173307088997,130.82748979169813,1.0,2,0.22431087493896484,0.006618976593017578,0.0,000110001001101010111110,---++---+--++-+-+-+++++-,0,True,"[[0.000117, 151.31257109], [0.005734, 140.47987071], [0.006619, 130.82748979]]",0,quantum,2,
baseline,24,121.02014177323395,121.0201417732341,,2,0.7866621017456055,0.005599021911621094,0.0,111011010101000000011101,+++-++-+-+-+-------+++-+,0,True,"[[0.000111, 151.85993202], [0.005311, 148.32766763], [0.005599, 121.02014177]]",1,quantum,2,
precond_pen=0.200,24,-18.165523822928044,121.03008842867203,0.2,2,0.18483400344848633,0.00632786750793457,0.0,000100101010101111110010,---+--+-+-+-+-++++++--+-,0,True,"[[0.00012, 151.85993202], [0.005468, 124.81120519], [0.006328, 121.03008843]]",1,quantum,2,
precond_pen=0.300,24,-25.497928955954997,121.03008842867203,0.3,2,0.08398103713989258,0.007121086120605469,0.0,111011010101010000001101,+++-++-+-+-+-+------++-+,0,True,"[[0.000117, 151.85993202], [0.005948, 134.42457945], [0.006418, 143.11929874], [0.006714, 134.23000207], [0.007121, 121.03008843]]",1,quantum,2,
precond_pen=0.400,24,-18.18874074747299,121.03008842867203,0.4,2,0.09951090812683105,0.006925821304321289,0.0,000100101010101111110010,---+--+-+-+-+-++++++--+-,0,True,"[[0.000111, 151.85993202], [0.005642, 140.16458338], [0.006043, 144.00758003], [0.006313, 140.24213517], [0.006926, 121.03008843]]",1,quantum,2,
precond_pen=0.500,24,-13.467260821561009,121.03008842867203,0.5,2,0.10922908782958984,0.0069200992584228516,0.0,000100101010101111110010,---+--+-+-+-+-++++++--+-,0,True,"[[0.000112, 151.85993202], [0.005682, 142.62579135], [0.006021, 145.33083729], [0.006314, 140.24213517], [0.00692, 121.03008843]]",1,quantum,2,
precond_pen=0.600,24,-9.943241613102005,121.03008842867203,0.6,2,0.17074203491210938,0.025062084197998047,0.0,111011010101010000001101,+++-++-+-+-+-+------++-+,0,True,"[[0.000111, 151.85993202], [0.006034, 134.16595629], [0.006605, 134.66763267], [0.0071, 121.24790097], [0.025062, 121.03008843]]",1,quantum,2,
precond_pen=0.700,24,-7.510992718790998,121.03008842867203,0.7,2,0.14318299293518066,0.00701594352722168,0.0,111011010101010000001101,+++-++-+-+-+-+------++-+,0,True,"[[0.000111, 151.85993202], [0.005894, 135.84413545], [0.006453, 135.74296883], [0.007016, 121.03008843]]",1,quantum,2,
precond_pen=0.800,24,-5.91695919834201,121.03008842867203,0.8,2,0.2131328582763672,0.13044095039367676,0.0,000100101010101111110010,---+--+-+-+-+-++++++--+-,0,True,"[[0.00011, 151.85993202], [0.005999, 140.7444919], [0.006505, 139.77663081], [0.007172, 121.24790097], [0.130441, 121.03008843]]",1,quantum,2,
precond_pen=1.000,24,-2.4003656805750015,121.03008842867203,1.0,2,0.5492959022521973,0.006988048553466797,0.0,111011010101010000001101,+++-++-+-+-+-+------++-+,0,True,"[[0.000111, 151.85993202], [0.005884, 140.45234642], [0.006312, 139.77663081], [0.006628, 138.96083612], [0.006988, 121.03008843]]",1,quantum,2,
baseline,24,119.81107703246303,119.81107703246302,,2,0.9655020236968994,0.007063150405883789,0.0,111110010011001000000111,+++++--+--++--+------+++,0,True,"[[0.000114, 146.89416462], [0.005783, 146.52662832], [0.006367, 145.34607912], [0.006708, 141.85119029], [0.007063, 119.81107703]]",2,quantum,2,
precond_pen=0.200,24,-18.280971262469016,120.53264177667508,0.2,2,0.17366600036621094,0.006994962692260742,0.0,111010010011001000100111,+++-+--+--++--+---+--+++,0,True,"[[0.000122, 146.89416462], [0.006032, 141.6601329], [0.006995, 120.53264178]]",2,quantum,2,
precond_pen=0.300,24,-22.37761030870999,120.04510978351907,0.3,2,0.16799092292785645,0.006969928741455078,0.0,111010010011001100000111,+++-+--+--++--++-----+++,0,True,"[[0.000115, 146.89416462], [0.005782, 136.98995982], [0.006542, 137.8291426], [0.00697, 120.04510978]]",2,quantum,2,
precond_pen=0.400,24,-16.742473045798,120.04510978351907,0.4,2,0.17163586616516113,0.007153987884521484,0.0,000101101100110011111000,---+-++-++--++--+++++---,0,True,"[[0.000116, 146.89416462], [0.006125, 131.33246555], [0.007154, 120.04510978]]",2,quantum,2,
precond_pen=0.500,24,-12.842257407909997,120.04510978351907,0.5,2,0.0737910270690918,0.0074160099029541016,0.0,111010010011001100000111,+++-+--+--++--++-----+++,0,True,"[[0.000117, 146.89416462], [0.00629, 136.44965009], [0.007012, 135.63853059], [0.007416, 120.04510978]]",2,quantum,2,
precond_pen=0.600,24,-9.757817714233,120.04510978351907,0.6,2,0.07596802711486816,0.007256031036376953,0.0,111010010011001100000111,+++-+--+--++--++-----+++,0,True,"[[0.000119, 146.89416462], [0.006252, 133.36430493], [0.007256, 120.04510978]]",2,quantum,2,
precond_pen=0.700,24,-7.492033310269003,120.04510978351907,0.7,2,0.0968480110168457,0.025195837020874023,0.0,111010010011001100000111,+++-+--+--++--++-----+++,0,True,"[[0.000111, 146.89416462], [0.006286, 139.76582782], [0.007038, 138.18329454], [0.007376, 121.36688993], [0.025196, 120.04510978]]",2,quantum,2,
precond_pen=0.800,24,-5.9423755429690015,120.04510978351907,0.8,2,0.10219597816467285,0.007157087326049805,0.0,111010010011001100000111,+++-+--+--++--++-----+++,0,True,"[[0.000117, 146.89416462], [0.006592, 136.86523607], [0.007157, 120.04510978]]",2,quantum,2,
precond_pen=1.000,24,-3.005770903452998,119.81107703246302,1.0,2,0.6397020816802979,0.00693202018737793,0.0,111110010011001000000111,+++++--+--++--+------+++,0,True,"[[0.000113, 146.89416462], [0.006026, 130.31995956], [0.006932, 119.81107703]]",2,quantum,2,
baseline,24,125.62957739668596,125.62957739668624,,2,0.584043025970459,0.006204128265380859,0.0,010101001111000001100111,-+-+-+--++++-----++--+++,0,True,"[[0.000119, 146.3517384], [0.005027, 141.44536594], [0.005779, 141.21821994], [0.006204, 125.6295774]]",3,quantum,2,
precond_pen=0.200,24,-20.274015605443044,125.62957739668624,0.2,2,0.1815648078918457,0.0067369937896728516,0.0,101010110000111110011000,+-+-+-++----+++++--++---,0,True,"[[0.000113, 146.3517384], [0.005849, 145.3547421], [0.006737, 125.6295774]]",3,quantum,2,
precond_pen=0.300,24,-29.162095483666004,125.62957739668624,0.3,2,0.1018829345703125,0.00687098503112793,0.0,010101001111000001100111,-+-+-+--++++-----++--+++,0,True,"[[0.000122, 146.3517384], [0.005788, 145.53476189], [0.0061, 147.15719371], [0.006418, 140.29462009], [0.006871, 125.6295774]]",3,quantum,2,
precond_pen=0.400,24,-21.331533126124,125.62957739668624,0.4,2,0.10214996337890625,0.006957054138183594,0.0,101010110000111110011000,+-+-+-++----+++++--++---,0,True,"[[0.000125, 146.3517384], [0.00588, 140.44287394], [0.006537, 137.27797658], [0.006957, 125.6295774]]",3,quantum,2,
precond_pen=0.500,24,-15.776903536167984,125.62957739668624,0.5,2,0.060350894927978516,0.024737834930419922,0.0,101010110000111110011000,+-+-+-++----+++++--++---,0,True,"[[0.000114, 146.3517384], [0.006003, 144.88678077], [0.006357, 126.61297016], [0.024738, 125.6295774]]",3,quantum,2,
precond_pen=0.600,24,-11.538361730103004,125.62957739668624,0.6,2,0.0804588794708252,0.0067958831787109375,0.0,101010110000111110011000,+-+-+-++----+++++--++---,0,True,"[[0.000111, 146.3517384], [0.006318, 140.37040348], [0.006796, 125.6295774]]",3,quantum,2,
precond_pen=0.700,24,-8.615517831400995,125.62957739668624,0.7,2,0.07093214988708496,0.0072841644287109375,0.0,010101001111000001100111,-+-+-+--++++-----++--+++,0,True,"[[0.00011, 146.3517384], [0.006148, 140.41574749], [0.00655, 141.99555184], [0.00685, 140.97321076], [0.007284, 125.6295774]]",3,quantum,2,
