name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,trajectory,seed,layers,preconditioner_family
precond_p=inf,40,-780.0,367.5142033565469,0.0,2,0.004251956939697266,0.0035200119018554688,0.0,1100111001001011111101101010000000010101,++--+++--+--+-++++++-++-+-+--------+-+-+,0,False,"[[3.3e-05, 419.40441686], [0.00352, 367.51420336]]",30,inf,quantum
precond_p=inf,40,-780.0,358.5286952897063,0.0,2,0.004285097122192383,0.0034971237182617188,0.0,1100000001111000011001001101011110011110,++-------++++----++--+--++-+-++++--++++-,0,False,"[[3.4e-05, 407.61391838], [0.003497, 358.52869529]]",31,inf,quantum
precond_p=inf,40,-780.0,345.1006166761897,0.0,2,0.004211902618408203,0.003437042236328125,0.0,1110111110001000010001101110001001110100,+++-+++++---+----+---++-+++---+--+++-+--,0,False,"[[3.3e-05, 401.83487555], [0.003437, 345.10061668]]",32,inf,quantum
precond_p=inf,40,-780.0,341.25507245306613,0.0,2,0.004195213317871094,0.0034329891204833984,0.0,1001010110101111000100001000001110011111,+--+-+-++-+-++++---+----+-----+++--+++++,0,False,"[[3.3e-05, 393.3535881], [0.003433, 341.25507245]]",33,inf,quantum
precond_p=inf,40,-780.0,354.40416403500564,0.0,2,0.004670858383178711,0.003612995147705078,0.0,1001101111100011100111010010111000010000,+--++-+++++---+++--+++-+--+-+++----+----,0,False,"[[3.4e-05, 398.91906992], [0.003613, 354.40416404]]",34,inf,quantum
precond_p=inf,40,-780.0,333.5004464095197,0.0,2,0.004757881164550781,0.003599882125854492,0.0,1011001110001110101101000101110100010010,+-++--+++---+++-+-++-+---+-+++-+---+--+-,0,False,"[[3.2e-05, 390.61299056], [0.0036, 333.50044641]]",35,inf,quantum
precond_p=inf,40,-780.0,357.03525787259133,0.0,2,0.004335165023803711,0.0035741329193115234,0.0,1011011001001011101010101100001010001101,+-++-++--+--+-+++-+-+-+-++----+-+---++-+,0,False,"[[3.3e-05, 397.98293173], [0.003574, 357.03525787]]",36,inf,quantum
precond_p=inf,40,-780.0,343.9492948062087,0.0,2,0.00468897819519043,0.0036368370056152344,0.0,1101000001111001000011101001010111010011,++-+-----++++--+----+++-+--+-+-+++-+--++,0,False,"[[3.3e-05, 382.28426659], [0.003637, 343.94929481]]",37,inf,quantum
precond_p=inf,40,-780.0,346.5629082650212,0.0,2,0.004695892333984375,0.0036039352416992188,0.0,1000010101110111100101000010000111101101,+----+-+-+++-++++--+-+----+----++++-++-+,0,False,"[[3.3e-05, 395.51823456], [0.003604, 346.56290827]]",38,inf,quantum
precond_p=inf,40,-780.0,341.91054901872553,0.0,2,0.004469871520996094,0.003598928451538086,0.0,1010000001110001010111110110111010001001,+-+------+++---+-+-+++++-++-+++-+---+--+,0,False,"[[3.3e-05, 399.90727007], [0.003599, 341.91054902]]",39,inf,quantum
precond_p=inf,40,-780.0,349.04853518738093,0.0,2,0.004225969314575195,0.0034389495849609375,0.0,1101101000100010001101001101111010101001,++-++-+---+---+---++-+--++-++++-+-+-+--+,0,False,"[[3.3e-05, 408.1006059], [0.003439, 349.04853519]]",40,inf,quantum
precond_p=inf,40,-780.0,364.35469252797185,0.0,2,0.0044291019439697266,0.0035932064056396484,0.0,1001100010011000100101010011101010101111,+--++---+--++---+--+-+-+--+++-+-+-+-++++,0,False,"[[3.3e-05, 405.65215627], [0.003593, 364.35469253]]",41,inf,quantum
precond_p=inf,40,-780.0,345.58168375966807,0.0,2,0.0045359134674072266,0.003448009490966797,0.0,1111111110000000000111100010110011110000,+++++++++----------++++---+-++--++++----,0,False,"[[3.3e-05, 393.21205702], [0.003448, 345.58168376]]",42,inf,quantum
precond_p=inf,40,-780.0,346.9228342051307,0.0,2,0.004786968231201172,0.0036559104919433594,0.0,1100000001011001001100111110010011011011,++-------+-++--+--++--+++++--+--++-++-++,0,False,"[[3.3e-05, 397.26266753], [0.003656, 346.92283421]]",43,inf,quantum
precond_p=inf,40,-780.0,339.11055473935727,0.0,2,0.004436016082763672,0.003720998764038086,0.0,1000101100011001010010000111011010101111,+---+-++---++--+-+--+----+++-++-+-+-++++,0,False,"[[3.3e-05, 376.29783994], [0.003721, 339.11055474]]",44,inf,quantum
precond_p=inf,40,-780.0,356.7971920333524,0.0,2,0.004478931427001953,0.003525972366333008,0.0,1110111111011100101100000010000001101010,+++-++++++-+++--+-++------+------++-+-+-,0,False,"[[3.2e-05, 391.52581354], [0.003526, 356.79719203]]",45,inf,quantum
precond_p=inf,40,-780.0,346.32738777866126,0.0,2,0.004647016525268555,0.0034830570220947266,0.0,1011111101100101010010100000100110101010,+-++++++-++--+-+-+--+-+-----+--++-+-+-+-,0,False,"[[3.3e-05, 382.46429859], [0.003483, 346.32738778]]",46,inf,quantum
precond_p=inf,40,-780.0,355.7878731172834,0.0,2,0.0043752193450927734,0.003612995147705078,0.0,1110011100010001011000010011101011010110,+++--+++---+---+-++----+--+++-+-++-+-++-,0,False,"[[3.3e-05, 407.70411898], [0.003613, 355.78787312]]",47,inf,quantum
precond_p=inf,40,-780.0,344.37907702136107,0.0,2,0.004621982574462891,0.0035469532012939453,0.0,1011110111000000010111100011110100001010,+-++++-+++-------+-++++---++++-+----+-+-,0,False,"[[3.3e-05, 385.65201208], [0.003547, 344.37907702]]",48,inf,quantum
precond_p=inf,40,-780.0,335.38581452736963,0.0,2,0.00407099723815918,0.0034132003784179688,0.0,1010100010010001111100000111110010011011,+-+-+---+--+---+++++-----+++++--+--++-++,0,False,"[[3.3e-05, 389.30398754], [0.003413, 335.38581453]]",49,inf,quantum
