seed,layers,sweeps,preconditioner_family,name,penalty,presolve,event_idx,time_sec,orig_obj,running_best_orig_obj
0,,1000,classical,baseline,,True,0,6e-05,151.31257109,151.31257109
0,,1000,classical,baseline,,True,1,0.030296,130.11536851,130.11536851
0,,1000,classical,precond_pen=0.000,0.0,True,0,5.4e-05,151.31257109,151.31257109
0,,1000,classical,precond_pen=0.200,0.2,True,0,4.5e-05,151.31257109,151.31257109
0,,1000,classical,precond_pen=0.400,0.4,True,0,4.2e-05,151.31257109,151.31257109
0,,1000,classical,precond_pen=0.600,0.6,True,0,4.1e-05,151.31257109,151.31257109
0,,1000,classical,precond_pen=0.800,0.8,True,0,3.9e-05,151.31257109,151.31257109
0,,1000,classical,precond_pen=1.000,1.0,True,0,3.9e-05,151.31257109,151.31257109
1,,1000,classical,baseline,,True,0,5.1e-05,151.85993202,151.85993202
1,,1000,classical,baseline,,True,1,0.011111,148.32766763,148.32766763
1,,1000,classical,baseline,,True,2,0.011964,121.02014177,121.02014177
1,,1000,classical,precond_pen=0.000,0.0,True,0,7.2e-05,151.85993202,151.85993202
1,,1000,classical,precond_pen=0.200,0.2,True,0,4.6e-05,151.85993202,151.85993202
1,,1000,classical,precond_pen=0.400,0.4,True,0,4.5e-05,151.85993202,151.85993202
1,,1000,classical,precond_pen=0.600,0.6,True,0,4.1e-05,151.85993202,151.85993202
1,,1000,classical,precond_pen=0.800,0.8,True,0,4.1e-05,151.85993202,151.85993202
1,,1000,classical,precond_pen=1.000,1.0,True,0,3.8e-05,151.85993202,151.85993202
2,,1000,classical,baseline,,True,0,4.9e-05,146.89416462,146.89416462
2,,1000,classical,baseline,,True,1,0.011131,145.95484003,145.95484003
2,,1000,classical,baseline,,True,2,0.012466,145.34607912,145.34607912
2,,1000,classical,baseline,,True,3,0.013698,141.85119029,141.85119029
2,,1000,classical,baseline,,True,4,0.015107,119.81107703,119.81107703
2,,1000,classical,precond_pen=0.000,0.0,True,0,5.3e-05,146.89416462,146.89416462
2,,1000,classical,precond_pen=0.200,0.2,True,0,4.8e-05,146.89416462,146.89416462
2,,1000,classical,precond_pen=0.400,0.4,True,0,4.6e-05,146.89416462,146.89416462
2,,1000,classical,precond_pen=0.600,0.6,True,0,6.7e-05,146.89416462,146.89416462
2,,1000,classical,precond_pen=0.800,0.8,True,0,4.5e-05,146.89416462,146.89416462
2,,1000,classical,precond_pen=1.000,1.0,True,0,4.2e-05,146.89416462,146.89416462
3,,1000,classical,baseline,,True,0,5.5e-05,146.3517384,146.3517384
3,,1000,classical,baseline,,True,1,0.012425,144.71892395,144.71892395
3,,1000,classical,baseline,,True,2,0.013984,144.12851781,144.12851781
3,,1000,classical,baseline,,True,3,0.015448,125.6295774,125.6295774
3,,1000,classical,precond_pen=0.000,0.0,True,0,5.7e-05,146.3517384,146.3517384
3,,1000,classical,precond_pen=0.200,0.2,True,0,5.2e-05,146.3517384,146.3517384
3,,1000,classical,precond_pen=0.400,0.4,True,0,4.8e-05,146.3517384,146.3517384
3,,1000,classical,precond_pen=0.600,0.6,True,0,5e-05,146.3517384,146.3517384
3,,1000,classical,precond_pen=0.800,0.8,True,0,6.8e-05,146.3517384,146.3517384
3,,1000,classical,precond_pen=1.000,1.0,True,0,4.4e-05,146.3517384,146.3517384
4,,1000,classical,baseline,,True,0,4.8e-05,163.78368209,163.78368209
4,,1000,classical,baseline,,True,1,0.01117,163.51955531,163.51955531
4,,1000,classical,baseline,,True,2,0.012027,141.19074867,141.19074867
4,,1000,classical,baseline,,True,3,1.078666,139.47165956,139.47165956
4,,1000,classical,baseline,,True,4,1.143121,137.49819129,137.49819129
4,,1000,classical,precond_pen=0.000,0.0,True,0,5.2e-05,163.78368209,163.78368209
4,,1000,classical,precond_pen=0.200,0.2,True,0,4.6e-05,163.78368209,163.78368209
4,,1000,classical,precond_pen=0.400,0.4,True,0,4.3e-05,163.78368209,163.78368209
4,,1000,classical,precond_pen=0.600,0.6,True,0,4.1e-05,163.78368209,163.78368209
4,,1000,classical,precond_pen=0.800,0.8,True,0,4e-05,163.78368209,163.78368209
4,,1000,classical,precond_pen=1.000,1.0,True,0,5.7e-05,163.78368209,163.78368209
5,,1000,classical,baseline,,True,0,4.9e-05,139.48194045,139.48194045
5,,1000,classical,baseline,,True,1,0.013322,122.92375639,122.92375639
5,,1000,classical,baseline,,True,2,0.195336,120.60887359,120.60887359
5,,1000,classical,precond_pen=0.000,0.0,True,0,5.6e-05,139.48194045,139.48194045
5,,1000,classical,precond_pen=0.200,0.2,True,0,4.8e-05,139.48194045,139.48194045
5,,1000,classical,precond_pen=0.400,0.4,True,0,4.2e-05,139.48194045,139.48194045
5,,1000,classical,precond_pen=0.600,0.6,True,0,4.2e-05,139.48194045,139.48194045
