name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,mip_gap,x_bits,z_bits,sum_z,seed,layers,data_root
precond_pen=0.200,16,-5.440512117399004,54.829006957292,0.2,2,0.09703302383422852,0.0,1011101100000011,+-+++-++------++,0,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,16,-4.437851814019997,54.829006957292,0.4,2,0.027309894561767578,0.0,1011101100000011,+-+++-++------++,0,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,16,-2.7812421120639943,54.829006957292,0.5,2,0.03087306022644043,0.0,1011101100000011,+-+++-++------++,0,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,16,-2.0477265191479965,54.829006957292,0.6,2,0.07529211044311523,0.0,1011101100000011,+-+++-++------++,0,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,16,-1.6624915765130046,54.829006957292,0.7,2,0.12110495567321777,0.0,0100010011111100,-+---+--++++++--,0,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,16,-1.427617770125,54.829006957292,0.8,2,0.17313003540039062,0.0,0100010011111100,-+---+--++++++--,0,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,16,-1.1560357223290012,54.829006957292,1.0,2,0.1806180477142334,0.0,0100010011111100,-+---+--++++++--,0,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,16,55.122635289212994,55.12263528921302,,2,0.1326770782470703,0.0,0010111101100100,--+-++++-++--+--,0,4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,16,-0.6299111783280509,55.31451000210102,0.0,2,0.10420894622802734,0.0,1101000110010011,++-+---++--+--++,0,4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,16,-7.9061138386530025,55.12263528921302,0.2,2,0.03796792030334473,0.0,0010111101100100,--+-++++-++--+--,0,4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,16,-6.570287087462997,55.12263528921302,0.4,2,0.01894211769104004,0.0,1101000010011011,++-+----+--++-++,0,4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,16,-3.792547938135,55.12263528921302,0.5,2,0.022557973861694336,0.0,1101000010011011,++-+----+--++-++,0,4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,16,-2.6539818429720006,55.12263528921302,0.6,2,0.04905200004577637,0.0,1101000010011011,++-+----+--++-++,0,4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,16,-2.088973574355002,55.12263528921302,0.7,2,0.0480499267578125,0.0,1101000010011011,++-+----+--++-++,0,4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,16,-1.7555659289610022,55.12263528921302,0.8,2,0.04138302803039551,0.0,1101000010011011,++-+----+--++-++,0,4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,16,-1.380011611845,55.12263528921302,1.0,2,0.04815793037414551,0.0,1101000010011011,++-+----+--++-++,0,4,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,16,52.37270996931199,52.372709969311984,,2,0.15715599060058594,0.0,1110100000101011,+++-+-----+-+-++,0,5,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,16,-1.2398122762139963,52.372709969311984,0.0,2,0.11875104904174805,0.0,0001011111010100,---+-+++++-+-+--,0,5,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,16,-8.308207909813996,52.372709969311984,0.2,2,0.03769516944885254,0.0,1110100000101011,+++-+-----+-+-++,0,5,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,16,-6.404056744432001,52.372709969311984,0.4,2,0.024708032608032227,0.0,1110100000101011,+++-+-----+-+-++,0,5,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,16,-3.812785068428001,52.372709969311984,0.5,2,0.022128820419311523,7.081227164750165e-05,0001011111010100,---+-+++++-+-+--,0,5,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,16,-2.690329820196001,52.372709969311984,0.6,2,0.017377138137817383,0.0,1110100000101011,+++-+-----+-+-++,0,5,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,16,-2.123085180160996,52.372709969311984,0.7,2,0.035021066665649414,9.84668153031307e-05,1110100000101011,+++-+-----+-+-++,0,5,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,16,-1.7859957073840027,52.372709969311984,0.8,2,0.04778790473937988,1.0450105633857538e-09,1110100000101011,+++-+-----+-+-++,0,5,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,16,-1.4044961393450022,52.372709969311984,1.0,2,0.06518006324768066,0.0,0001011111010100,---+-+++++-+-+--,0,5,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,16,57.728834440118,57.72883444011801,,2,0.16684889793395996,0.0,1100011011001010,++---++-++--+-+-,0,6,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,16,0.4341336342470328,57.72883444011801,0.0,2,0.14424586296081543,0.0,0011100100110101,--+++--+--++-+-+,0,6,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,16,-5.192774564085999,57.72883444011801,0.2,2,0.12760591506958008,0.0,1100011011001010,++---++-++--+-+-,0,6,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,16,-5.176767423726001,57.72883444011801,0.4,2,0.031054973602294922,0.0,1100011011001010,++---++-++--+-+-,0,6,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,16,-3.1998217669869957,57.72883444011801,0.5,2,0.029601097106933594,0.0,0011100100110101,--+++--+--++-+-+,0,6,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,16,-2.2897924930050007,57.72883444011801,0.6,2,0.05546998977661133,5.0015857919831505e-05,0011100100110101,--+++--+--++-+-+,0,6,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,16,-1.8237369682430025,57.72883444011801,0.7,2,0.10040283203125,0.0,1100011011001010,++---++-++--+-+-,0,6,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,16,-1.5461030058919967,57.72883444011801,0.8,2,0.19683289527893066,0.0,0011100100110101,--+++--+--++-+-+,0,6,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,16,-1.2320456285419983,57.72883444011801,1.0,2,0.21834611892700195,0.0,1100011011001010,++---++-++--+-+-,0,6,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,16,53.18710891938896,53.18710891938902,,2,0.163193941116333,0.0,1110001010101010,+++---+-+-+-+-+-,0,7,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,16,-0.30674686431203213,53.527476024478986,0.0,2,0.12491202354431152,0.0,0101111001010100,-+-++++--+-+-+--,0,7,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,16,-6.633534221305,53.494110723827006,0.2,2,0.05636882781982422,0.0,0001111101010100,---+++++-+-+-+--,0,7,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,16,-4.981462071160001,53.18710891938902,0.4,2,0.04407215118408203,0.0,0001110101010101,---+++-+-+-+-+-+,0,7,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,16,-3.078145117404002,53.18710891938902,0.5,2,0.07501697540283203,0.0,1110001010101010,+++---+-+-+-+-+-,0,7,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,16,-2.236892007725004,53.18710891938902,0.6,2,0.07178688049316406,0.0,1110001010101010,+++---+-+-+-+-+-,0,7,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,16,-1.7993745157560035,53.18710891938902,0.7,2,0.10566115379333496,0.0,1110001010101010,+++---+-+-+-+-+-,0,7,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,16,-1.5346519394559976,53.18710891938902,0.8,2,0.13199305534362793,0.0,0001110101010101,---+++-+-+-+-+-+,0,7,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,16,-1.2306440938679977,53.18710891938902,1.0,2,0.22596502304077148,0.0,1110001010101010,+++---+-+-+-+-+-,0,7,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,16,49.90665485264998,49.906654852649986,,2,0.1741318702697754,0.0,1111101000010001,+++++-+----+---+,0,8,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,16,-0.4028472285760287,49.906654852649986,0.0,2,0.12567996978759766,0.0,1111101000010001,+++++-+----+---+,0,8,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,16,-7.290132697851002,49.906654852649986,0.2,2,0.04283595085144043,0.0,1111101000010001,+++++-+----+---+,0,8,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,16,-4.4189186058350005,49.906654852649986,0.4,2,0.06881594657897949,0.0,0000010111101110,-----+-++++-+++-,0,8,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,16,-2.7524161988769977,49.906654852649986,0.5,2,0.06800198554992676,0.0,1111101000010001,+++++-+----+---+,0,8,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,16,-2.041263224153001,49.906654852649986,0.6,2,0.08452081680297852,0.0,0000010111101110,-----+-++++-+++-,0,8,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,16,-1.6651339483520005,49.906654852649986,0.7,2,0.14731788635253906,0.0,0000010111101110,-----+-++++-+++-,0,8,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,16,-1.433858224418005,49.906654852649986,0.8,2,0.20798993110656738,0.0,1111101000010001,+++++-+----+---+,0,8,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,16,-1.1641488597070024,49.906654852649986,1.0,2,0.1982879638671875,0.0,0000010111101110,-----+-++++-+++-,0,8,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,16,57.25525883915294,57.25525883915303,,2,0.140333890914917,0.0,0100001011111100,-+----+-++++++--,0,9,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,16,0.19761503935599478,57.25525883915303,0.0,2,0.14789986610412598,0.0,0100001011111100,-+----+-++++++--,0,9,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,16,-6.030312596511996,57.25525883915303,0.2,2,0.0855550765991211,0.0,1011110100000011,+-++++-+------++,0,9,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,16,-5.5069129425,57.25525883915303,0.4,2,0.021191835403442383,0.0,1011110100000011,+-++++-+------++,0,9,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,16,-3.3175368109859997,57.25525883915303,0.5,2,0.028900861740112305,0.0,1011110100000011,+-++++-+------++,0,9,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,16,-2.372458467220002,57.25525883915303,0.6,2,0.06926608085632324,4.651497993383586e-05,1011110100000011,+-++++-+------++,0,9,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,16,-1.890992831398001,57.25525883915303,0.7,2,0.07580208778381348,0.0,0100001011111100,-+----+-++++++--,0,9,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,16,-1.6029101787810038,57.25525883915303,0.8,2,0.14873099327087402,0.0,1011110100000011,+-++++-+------++,0,9,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
