name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,trajectory,seed,preconditioner_family,layers,sweeps,data_root
baseline,24,130.1153685081999,130.11536850820013,,2,3.9805150032043457,0.012277841567993164,0.0,111001011110010101000001,+++--+-++++--+-+-+-----+,0,True,"[[4.9e-05, 151.31257109], [0.012278, 130.11536851]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.000,24,12.0,151.31257108623217,0.0,2,0.16589593887329102,5.1975250244140625e-05,0.0,111111111111000000000000,++++++++++++------------,0,True,"[[5.2e-05, 151.31257109]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.200,24,12.0,151.31257108623217,0.2,2,0.13738489151000977,4.696846008300781e-05,0.0,111111111111000000000000,++++++++++++------------,0,True,"[[4.7e-05, 151.31257109]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.400,24,12.0,151.31257108623217,0.4,2,0.1561601161956787,4.291534423828125e-05,0.0,111111111111000000000000,++++++++++++------------,0,True,"[[4.3e-05, 151.31257109]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.600,24,12.0,151.31257108623217,0.6,2,0.1424541473388672,4.100799560546875e-05,0.0,111111111111000000000000,++++++++++++------------,0,True,"[[4.1e-05, 151.31257109]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.800,24,12.0,151.31257108623217,0.8,2,0.08539700508117676,5.078315734863281e-05,0.0,111111111111000000000000,++++++++++++------------,0,True,"[[5.1e-05, 151.31257109]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=1.000,24,12.0,151.31257108623217,1.0,2,0.12617778778076172,4.38690185546875e-05,0.0,111111111111000000000000,++++++++++++------------,0,True,"[[4.4e-05, 151.31257109]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
baseline,24,121.02014177323395,121.0201417732341,,2,5.365802049636841,0.052239179611206055,0.0,111011010101000000011101,+++-++-+-+-+-------+++-+,0,True,"[[7.6e-05, 151.85993202], [0.051159, 148.32766763], [0.052239, 121.02014177]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.000,24,12.0,151.8599320159979,0.0,2,0.16036701202392578,5.888938903808594e-05,0.0,111111111111000000000000,++++++++++++------------,0,True,"[[5.9e-05, 151.85993202]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.200,24,12.0,151.8599320159979,0.2,2,0.15524506568908691,5.507469177246094e-05,0.0,111111111111000000000000,++++++++++++------------,0,True,"[[5.5e-05, 151.85993202]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.400,24,12.0,151.8599320159979,0.4,2,0.1366279125213623,5.3882598876953125e-05,0.0,111111111111000000000000,++++++++++++------------,0,True,"[[5.4e-05, 151.85993202]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.600,24,12.0,151.8599320159979,0.6,2,0.14160704612731934,5.2928924560546875e-05,0.0,111111111111000000000000,++++++++++++------------,0,True,"[[5.3e-05, 151.85993202]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.800,24,12.0,151.8599320159979,0.8,2,0.13562417030334473,5.1975250244140625e-05,0.0,111111111111000000000000,++++++++++++------------,0,True,"[[5.2e-05, 151.85993202]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=1.000,24,12.0,151.8599320159979,1.0,2,0.14130401611328125,7.510185241699219e-05,0.0,111111111111000000000000,++++++++++++------------,0,True,"[[7.5e-05, 151.85993202]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
baseline,24,119.81107703246303,119.81107703246302,,2,5.674942970275879,0.009809017181396484,0.0,111110010011001000000111,+++++--+--++--+------+++,0,True,"[[5.1e-05, 146.89416462], [0.007979, 145.95484003], [0.008706, 145.34607912], [0.009272, 141.85119029], [0.009809, 119.81107703]]",2,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.000,24,12.0,146.89416461520912,0.0,2,0.15440797805786133,5.412101745605469e-05,0.0,111111111111000000000000,++++++++++++------------,0,True,"[[5.4e-05, 146.89416462]]",2,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.200,24,12.0,146.89416461520912,0.2,2,0.12272787094116211,4.887580871582031e-05,0.0,111111111111000000000000,++++++++++++------------,0,True,"[[4.9e-05, 146.89416462]]",2,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.400,24,12.0,146.89416461520912,0.4,2,0.135361909866333,4.982948303222656e-05,0.0,111111111111000000000000,++++++++++++------------,0,True,"[[5e-05, 146.89416462]]",2,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.600,24,12.0,146.89416461520912,0.6,2,0.12763094902038574,5.3882598876953125e-05,0.0,111111111111000000000000,++++++++++++------------,0,True,"[[5.4e-05, 146.89416462]]",2,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.800,24,12.0,146.89416461520912,0.8,2,0.1573789119720459,5.1975250244140625e-05,0.0,111111111111000000000000,++++++++++++------------,0,True,"[[5.2e-05, 146.89416462]]",2,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=1.000,24,12.0,146.89416461520912,1.0,2,0.14055800437927246,5.1975250244140625e-05,0.0,111111111111000000000000,++++++++++++------------,0,True,"[[5.2e-05, 146.89416462]]",2,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
baseline,24,125.62957739668596,125.62957739668624,,2,3.446640968322754,0.00867009162902832,0.0,010101001111000001100111,-+-+-+--++++-----++--+++,0,True,"[[4.7e-05, 146.3517384], [0.007175, 144.71892395], [0.00793, 144.12851781], [0.00867, 125.6295774]]",3,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.000,24,12.0,146.35173839713605,0.0,2,0.1298370361328125,5.602836608886719e-05,0.0,111111111111000000000000,++++++++++++------------,0,True,"[[5.6e-05, 146.3517384]]",3,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.200,24,12.0,146.35173839713605,0.2,2,0.12159109115600586,5.0067901611328125e-05,0.0,111111111111000000000000,++++++++++++------------,0,True,"[[5e-05, 146.3517384]]",3,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.400,24,12.0,146.35173839713605,0.4,2,0.12982583045959473,5.1021575927734375e-05,0.0,111111111111000000000000,++++++++++++------------,0,True,"[[5.1e-05, 146.3517384]]",3,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.600,24,12.0,146.35173839713605,0.6,2,0.12142801284790039,4.792213439941406e-05,0.0,111111111111000000000000,++++++++++++------------,0,True,"[[4.8e-05, 146.3517384]]",3,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
