name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,mip_gap,x_bits,z_bits,sum_z
baseline,28,176.91274938179578,176.91274938179572,,2,16.238960027694702,0.0,1110001111000001101010011001,+++---++++-----++-+-+--++--+,0
precond_pen=0.200,28,-14.285707591980973,176.91274938179572,0.2,2,0.8907840251922607,0.0,1110001111000001101010011001,+++---++++-----++-+-+--++--+,0
precond_pen=0.300,28,-17.083643959199996,177.5428095635158,0.3,2,0.5113649368286133,0.0,0101110000011110010101100110,-+-+++-----++++--+-+-++--++-,0
precond_pen=0.400,28,-10.328082633020003,177.07575315111183,0.4,2,0.5023019313812256,0.0,0101110000011100010111100110,-+-+++-----+++---+-++++--++-,0
