n,seed,rho_star
8,0,0.2908802617297501
8,1,0.19692211334869894
8,2,0.48725798767899287
8,3,0.4048933695921284
8,4,0.34480706068857003
8,5,0.36644585934131335
8,6,0.19920962332043046
8,7,0.20600036161044874
8,8,0.34126971382300075
8,9,0.6572648399297591
8,10,0.5092455134732616
8,11,0.23967402692372097
8,12,0.29873925592016626
8,13,0.27926506031342857
8,14,0.5201436285338121
8,15,0.2347366352902983
8,16,0.7075451063604588
8,17,0.16290992407495655
8,18,0.38065894273365464
8,19,0.34247323595154233
8,20,0.23936795414903322
8,21,0.5537293473982658
8,22,0.16283714285486794
8,23,0.21450560678836084
8,24,0.2880476740263802
8,25,0.5317767897729229
8,26,0.33407759268706894
8,27,0.2100208555493701
8,28,0.4637565728168367
8,29,0.3346172207673521
8,30,0.20697211801059318
8,31,0.8507772874338131
8,32,0.3057710470730113
8,33,0.4025908708197705
8,34,0.523375722463308
8,35,0.3301920931583999
8,36,0.22487172988429405
8,37,0.2673373820362204
8,38,0.4321559564673607
8,39,0.3723894041779765
8,40,0.24983971561974405
8,41,0.5656211274931766
8,42,0.3768696833493097
8,43,0.6587679294911344
8,44,0.20692191210243394
8,45,0.50611858376433
8,46,0.4491490449834141
8,47,0.44423037579942637
8,48,0.20757861416913825
8,49,0.20036121110137783
12,0,0.636033911063393
12,1,0.6938086721655479
12,2,0.23634693579196497
12,3,0.36082422470261477
12,4,0.664470334214375
12,5,0.292324618114967
12,6,0.17764052312866452
12,7,0.41006284638670465
12,8,0.2945603034573896
12,9,0.30739641475166923
12,10,0.28698115338031327
12,11,0.2420001046524456
12,12,0.3938291102771201
12,13,0.6553921812198675
12,14,0.3188489420183829
12,15,0.2990045609654004
12,16,0.3128512833481696
12,17,0.43777757236733095
12,18,0.35463465721467813
12,19,0.2941473954176077
12,20,0.3209396648794929
12,21,0.5496288292030629
12,22,0.4103657073444218
12,23,0.4055466298014272
12,24,0.190041755413187
12,25,0.19883514928981386
12,26,0.47214388334752133
12,27,0.5115644061732514
12,28,0.4874294464565647
12,29,0.22424045968902906
12,30,0.6040021433387457
12,31,0.39605484286665504
12,32,0.5656151380014913
12,33,0.37733053262188676
12,34,0.34137233210796136
12,35,0.4728825336841993
12,36,0.24035436696681067
12,37,0.3304426072579698
12,38,0.20653932358855787
12,39,0.45013096348997994
12,40,0.23418856618891937
12,41,0.3425158522573586
12,42,0.27991294702290287
12,43,0.1741980824004662
12,44,0.4248797965712905
12,45,0.47230470109034073
12,46,0.2780425826477124
12,47,0.46088259895343775
12,48,0.24166985857304546
12,49,0.34506803348536774
16,0,0.22396888607701015
16,1,0.3517961229987332
16,2,0.415692468971427
16,3,0.2608326731628967
16,4,0.23966443555960362
16,5,0.32131532369693616
16,6,0.3594149276591594
16,7,0.5657527878514035
16,8,0.5895894570852285
16,9,0.28403892407980713
16,10,0.4649005411306071
16,11,0.3657982507003634
16,12,0.3236463607518125
16,13,0.22556887070624645
16,14,0.40492323133406316
16,15,0.256191800091197
16,16,0.5403187529664244
16,17,0.5687029331470477
16,18,0.4539296941552635
16,19,0.44093584095360683
16,20,0.23713044617683585
16,21,0.3046857290879075
16,22,0.2351405707832253
16,23,0.2191961853701052
16,24,0.40851738794746595
16,25,0.3471524111811011
16,26,0.29803615405415407
16,27,0.45533049733336384
16,28,0.3881390817834678
16,29,0.2212132839194306
16,30,0.31409514171506636
16,31,0.30091857316714954
16,32,0.3178473958388217
16,33,0.3741715933946672
16,34,0.5396392022445333
16,35,0.279241081185663
16,36,0.23064915905345273
16,37,0.2653146917829212
16,38,0.457516123984961
16,39,0.2082961392479376
16,40,0.42165581280704423
16,41,0.5981060300811478
16,42,0.4320728976790118
16,43,0.6640782326399268
16,44,0.5683830281349724
16,45,0.27867049525065646
16,46,0.2122844432170175
16,47,0.2922819999186035
16,48,0.38735467594209183
16,49,0.39634783648871696
20,0,0.2835894998250773
20,1,0.45704379422320685
20,2,0.25877478695243955
20,3,0.44722759087481023
20,4,0.6187469017507077
20,5,0.3267767296136128
20,6,0.5647878386495861
20,7,0.3386510884492644
20,8,0.3224753321915621
20,9,0.34469016279764375
20,10,0.22822392839515024
20,11,0.2120881830015138
20,12,0.6845680951742139
20,13,0.33572209291956767
20,14,0.394029861529944
20,15,0.5204775340502152
20,16,0.4289468226695199
20,17,0.4436385477881579
20,18,0.29589725683498
20,19,0.40984667573678735
20,20,0.4972261666173772
20,21,0.7361661817119689
20,22,0.4389871878863474
20,23,0.43412444584210164
20,24,0.319299399298675
20,25,0.3782684773127478
20,26,0.25021132901353393
20,27,0.3631221040200998
20,28,0.3072713051613638
20,29,0.24079178669762014
20,30,0.32008764709897175
20,31,0.37131779632484196
20,32,0.4889535733235313
20,33,1.0419170166820066
20,34,0.4188759230625436
20,35,0.5641940102721925
20,36,0.37593899443379897
20,37,0.24538392345549712
20,38,0.36270045163901443
20,39,0.3390684629592613
20,40,0.23620448520786552
20,41,0.29991623418448654
20,42,0.33221472570170807
20,43,0.3187968992383361
20,44,0.24719548813644865
20,45,0.27456008281232336
20,46,0.38443456176870683
20,47,0.688407873556347
20,48,0.29567584647493206
20,49,0.36562315427233827
