seed,layers,sweeps,preconditioner_family,name,penalty,presolve,event_idx,time_sec,orig_obj,running_best_orig_obj
0,,10000,classical,baseline,,True,0,0.000811,109.3548078,109.3548078
0,,10000,classical,baseline,,True,1,0.048112,101.73928921,101.73928921
0,,10000,classical,baseline,,True,2,0.049425,91.05430035,91.05430035
0,,10000,classical,precond_pen=0.000,0.0,True,0,5.5e-05,109.3548078,109.3548078
0,,10000,classical,precond_pen=0.200,0.2,True,0,4.2e-05,109.3548078,109.3548078
0,,10000,classical,precond_pen=0.400,0.4,True,0,3.7e-05,109.3548078,109.3548078
0,,10000,classical,precond_pen=0.600,0.6,True,0,3.7e-05,109.3548078,109.3548078
0,,10000,classical,precond_pen=0.800,0.8,True,0,4.3e-05,109.3548078,109.3548078
0,,10000,classical,precond_pen=1.000,1.0,True,0,3.7e-05,109.3548078,109.3548078
1,,10000,classical,baseline,,True,0,5.7e-05,99.25133438,99.25133438
1,,10000,classical,baseline,,True,1,0.020468,89.49026055,89.49026055
1,,10000,classical,baseline,,True,2,0.372078,89.15091127,89.15091127
1,,10000,classical,baseline,,True,3,0.406914,88.17732453,88.17732453
1,,10000,classical,baseline,,True,4,0.40703,88.11235847,88.11235847
1,,10000,classical,baseline,,True,5,0.407084,87.80957591,87.80957591
1,,10000,classical,baseline,,True,6,0.407141,86.87741286,86.87741286
1,,10000,classical,precond_pen=0.000,0.0,True,0,3.6e-05,99.25133438,99.25133438
1,,10000,classical,precond_pen=0.200,0.2,True,0,3.6e-05,99.25133438,99.25133438
1,,10000,classical,precond_pen=0.400,0.4,True,0,3.6e-05,99.25133438,99.25133438
1,,10000,classical,precond_pen=0.600,0.6,True,0,4.1e-05,99.25133438,99.25133438
1,,10000,classical,precond_pen=0.800,0.8,True,0,3.6e-05,99.25133438,99.25133438
1,,10000,classical,precond_pen=1.000,1.0,True,0,3.8e-05,99.25133438,99.25133438
2,,10000,classical,baseline,,True,0,9.6e-05,97.10293979,97.10293979
2,,10000,classical,baseline,,True,1,0.017396,96.19013799,96.19013799
2,,10000,classical,baseline,,True,2,0.018658,94.51580303,94.51580303
2,,10000,classical,baseline,,True,3,0.019743,86.18601616,86.18601616
2,,10000,classical,precond_pen=0.000,0.0,True,0,3.5e-05,97.10293979,97.10293979
2,,10000,classical,precond_pen=0.200,0.2,True,0,3.4e-05,97.10293979,97.10293979
2,,10000,classical,precond_pen=0.400,0.4,True,0,3.4e-05,97.10293979,97.10293979
2,,10000,classical,precond_pen=0.600,0.6,True,0,4.4e-05,97.10293979,97.10293979
2,,10000,classical,precond_pen=0.800,0.8,True,0,4.5e-05,97.10293979,97.10293979
2,,10000,classical,precond_pen=1.000,1.0,True,0,3.5e-05,97.10293979,97.10293979
3,,10000,classical,baseline,,True,0,4.5e-05,100.2592436,100.2592436
3,,10000,classical,baseline,,True,1,0.006485,97.50484607,97.50484607
3,,10000,classical,baseline,,True,2,0.008358,96.61527017,96.61527017
3,,10000,classical,baseline,,True,3,0.0099,86.8557907,86.8557907
3,,10000,classical,baseline,,True,4,0.097735,85.6764696,85.6764696
3,,10000,classical,precond_pen=0.000,0.0,True,0,3.8e-05,100.2592436,100.2592436
3,,10000,classical,precond_pen=0.200,0.2,True,0,3.7e-05,100.2592436,100.2592436
3,,10000,classical,precond_pen=0.400,0.4,True,0,6.9e-05,100.2592436,100.2592436
3,,10000,classical,precond_pen=0.600,0.6,True,0,6.6e-05,100.2592436,100.2592436
3,,10000,classical,precond_pen=0.800,0.8,True,0,5.8e-05,100.2592436,100.2592436
3,,10000,classical,precond_pen=1.000,1.0,True,0,6e-05,100.2592436,100.2592436
4,,10000,classical,baseline,,True,0,5.5e-05,108.15912238,108.15912238
4,,10000,classical,baseline,,True,1,0.009921,105.47468849,105.47468849
4,,10000,classical,baseline,,True,2,0.010713,96.22615194,96.22615194
4,,10000,classical,baseline,,True,3,0.776927,96.17217929,96.17217929
4,,10000,classical,baseline,,True,4,0.794398,95.95165142,95.95165142
4,,10000,classical,precond_pen=0.000,0.0,True,0,3.4e-05,108.15912238,108.15912238
4,,10000,classical,precond_pen=0.200,0.2,True,0,3.6e-05,108.15912238,108.15912238
4,,10000,classical,precond_pen=0.400,0.4,True,0,4.2e-05,108.15912238,108.15912238
4,,10000,classical,precond_pen=0.600,0.6,True,0,3.8e-05,108.15912238,108.15912238
4,,10000,classical,precond_pen=0.800,0.8,True,0,3.9e-05,108.15912238,108.15912238
4,,10000,classical,precond_pen=1.000,1.0,True,0,4.2e-05,108.15912238,108.15912238
5,,10000,classical,baseline,,True,0,0.000118,105.24454556,105.24454556
5,,10000,classical,baseline,,True,1,0.01845,105.02124729,105.02124729
5,,10000,classical,baseline,,True,2,0.019451,82.85950408,82.85950408
5,,10000,classical,precond_pen=0.000,0.0,True,0,3.5e-05,105.24454556,105.24454556
5,,10000,classical,precond_pen=0.200,0.2,True,0,4.4e-05,105.24454556,105.24454556
5,,10000,classical,precond_pen=0.400,0.4,True,0,6.1e-05,105.24454556,105.24454556
5,,10000,classical,precond_pen=0.600,0.6,True,0,4.5e-05,105.24454556,105.24454556
5,,10000,classical,precond_pen=0.800,0.8,True,0,4.8e-05,105.24454556,105.24454556
5,,10000,classical,precond_pen=1.000,1.0,True,0,3.4e-05,105.24454556,105.24454556
6,,10000,classical,baseline,,True,0,3.8e-05,109.73299824,109.73299824
6,,10000,classical,baseline,,True,1,0.003602,106.84662774,106.84662774
6,,10000,classical,baseline,,True,2,0.003973,106.4692388,106.4692388
6,,10000,classical,baseline,,True,3,0.004313,93.69489405,93.69489405
6,,10000,classical,baseline,,True,4,0.061467,88.71565306,88.71565306
6,,10000,classical,precond_pen=0.000,0.0,True,0,3.4e-05,109.73299824,109.73299824
6,,10000,classical,precond_pen=0.200,0.2,True,0,3.9e-05,109.73299824,109.73299824
6,,10000,classical,precond_pen=0.400,0.4,True,0,5.7e-05,109.73299824,109.73299824
6,,10000,classical,precond_pen=0.600,0.6,True,0,4.6e-05,109.73299824,109.73299824
6,,10000,classical,precond_pen=0.800,0.8,True,0,6.6e-05,109.73299824,109.73299824
6,,10000,classical,precond_pen=1.000,1.0,True,0,4e-05,109.73299824,109.73299824
7,,10000,classical,baseline,,True,0,0.000108,100.42888407,100.42888407
7,,10000,classical,baseline,,True,1,0.015634,86.68155316,86.68155316
7,,10000,classical,baseline,,True,2,0.378374,86.54713838,86.54713838
7,,10000,classical,baseline,,True,3,0.378473,86.48579607,86.48579607
7,,10000,classical,baseline,,True,4,0.389374,85.68813474,85.68813474
7,,10000,classical,baseline,,True,5,0.489979,85.63690008,85.63690008
7,,10000,classical,precond_pen=0.000,0.0,True,0,3.8e-05,100.42888407,100.42888407
7,,10000,classical,precond_pen=0.200,0.2,True,0,3.5e-05,100.42888407,100.42888407
7,,10000,classical,precond_pen=0.400,0.4,True,0,5e-05,100.42888407,100.42888407
7,,10000,classical,precond_pen=0.600,0.6,True,0,4.2e-05,100.42888407,100.42888407
7,,10000,classical,precond_pen=0.800,0.8,True,0,5e-05,100.42888407,100.42888407
