name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,trajectory,seed,preconditioner_family,layers,sweeps,data_root
baseline,28,176.9127493817959,176.91274938179572,,2,19.109891891479492,0.010460853576660156,0.0,0001110000111110010101100110,---+++----+++++--+-+-++--++-,0,False,"[[0.000163, 216.86669539], [0.007917, 209.50001618], [0.009421, 208.20871177], [0.009846, 202.70027902], [0.010461, 176.91274938]]",0,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,28,-14.285707591980973,176.91274938179572,0.2,2,0.42850399017333984,0.00653386116027832,0.0,1110001111000001101010011001,+++---++++-----++-+-+--++--+,0,False,"[[0.000121, 216.86669539], [0.005327, 209.92844421], [0.005762, 208.20871177], [0.006534, 176.91274938]]",0,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,28,-17.083643959199996,177.5428095635158,0.3,2,0.13622617721557617,0.0065460205078125,0.0,1010001111100001101010011001,+-+---+++++----++-+-+--++--+,0,False,"[[0.000117, 216.86669539], [0.005089, 208.34138921], [0.005573, 206.65136709], [0.005944, 206.17140101], [0.006546, 177.54280956]]",0,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,28,-10.328082633020003,177.07575315111183,0.4,2,0.30722808837890625,0.0070171356201171875,0.0,0101110000011100010111100110,-+-+++-----+++---+-++++--++-,0,False,"[[0.000118, 216.86669539], [0.005363, 206.67001952], [0.006266, 207.50488835], [0.007017, 177.07575315]]",0,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,28,-6.257112655513007,177.07575315111183,0.5,2,0.3836548328399658,0.2522318363189697,0.0,1010001111100011101000011001,+-+---+++++---+++-+----++--+,0,False,"[[0.000116, 216.86669539], [0.005342, 200.74872369], [0.006374, 199.58469573], [0.007015, 176.91274938], [0.252232, 177.07575315]]",0,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,28,-3.1975268727799975,177.07575315111183,0.7,2,0.7218828201293945,0.007091999053955078,0.0,1010001111100011101000011001,+-+---+++++---+++-+----++--+,0,False,"[[0.000117, 216.86669539], [0.005873, 203.58126883], [0.006632, 204.15775753], [0.007092, 177.07575315]]",0,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,28,-2.623739875592994,176.91274938179572,0.8,2,1.4444630146026611,0.0065691471099853516,0.0,1110001111000001101010011001,+++---++++-----++-+-+--++--+,0,False,"[[0.00012, 216.86669539], [0.006175, 208.9827142], [0.006569, 176.91274938]]",0,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,28,-1.9877673896330048,176.91274938179572,1.0,2,1.511626958847046,0.006276845932006836,0.0,1110001111000001101010011001,+++---++++-----++-+-+--++--+,0,False,"[[0.000121, 216.86669539], [0.005806, 210.36473383], [0.006277, 176.91274938]]",0,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
baseline,28,164.34075451243604,164.3407545124361,,2,16.199229955673218,0.10772013664245605,0.0,1010001101000111011001001011,+-+---++-+---+++-++--+--+-++,0,False,"[[0.000115, 189.51579027], [0.004521, 188.53795766], [0.00492, 165.80522431], [0.107321, 165.52263042], [0.10772, 164.34075451]]",1,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,28,-11.468184584270006,164.95918571790793,0.2,2,0.4509258270263672,0.4500398635864258,0.0,1100100111110000001010111100,++--+--+++++------+-+-++++--,0,False,"[[0.000124, 189.51579027], [0.005406, 180.03414966], [0.006706, 164.80784601], [0.418208, 165.16005203], [0.418392, 164.95918572], [0.45004, 164.95918572]]",1,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,28,-12.19346445312699,164.80784600685183,0.3,2,0.38663411140441895,0.38596200942993164,0.0,0100110001111001101110101000,-+--++---++++--++-+++-+-+---,0,False,"[[0.000116, 189.51579027], [0.004909, 185.48012452], [0.005465, 184.05686728], [0.005792, 185.09018839], [0.006398, 165.77754011], [0.372038, 165.63530612], [0.385427, 164.80784601], [0.385962, 164.80784601]]",1,quantum,1,,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
