n,mean,median,percentile_90,percentile_99,max
8,0.36569942173694164,0.33794346729517644,0.554918525407757,0.7805935187078692,0.8507772874338131
12,0.37356118958702966,0.34379194287136317,0.5694538385352168,0.6794328865694731,0.6938086721655479
16,0.3662089716898052,0.34947426708991713,0.5660158118797604,0.6317518533861249,0.6640782326399268
20,0.397062765151899,0.3629112778295571,0.5701837449596984,0.8920991075466875,1.0419170166820066
