name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,trajectory,seed,layers,preconditioner_family,data_root
precond_p=inf,12,-66.0,26.920281323427005,0.0,2,0.004355907440185547,0.0032570362091064453,0.0,101001011100,+-+--+-+++--,0,True,"[[2.5e-05, 35.42782907], [0.003257, 26.92028132]]",29,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,12,-66.0,29.552613782493996,0.0,2,0.0040760040283203125,0.0030717849731445312,0.0,111100101000,++++--+-+---,0,True,"[[2.5e-05, 36.61229461], [0.003072, 29.55261378]]",30,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,12,-66.0,31.03572184738199,0.0,2,0.004107952117919922,0.003086090087890625,0.0,100111001100,+--+++--++--,0,True,"[[2.4e-05, 33.02833402], [0.003086, 31.03572185]]",31,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,12,-66.0,31.987884660914986,0.0,2,0.014703035354614258,0.01366281509399414,0.0,110010100101,++--+-+--+-+,0,True,"[[2.4e-05, 38.83721329], [0.013663, 31.98788466]]",32,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,12,-66.0,30.32313426902201,0.0,2,0.004212856292724609,0.0031239986419677734,0.0,101011101000,+-+-+++-+---,0,True,"[[2.5e-05, 35.88538343], [0.003124, 30.32313427]]",33,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,12,-66.0,30.38462525185301,0.0,2,0.007790803909301758,0.006742954254150391,0.0,101000011101,+-+----+++-+,0,True,"[[2.5e-05, 39.1354961], [0.006743, 30.38462525]]",34,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,12,-66.0,27.600672014513,0.0,2,0.00423884391784668,0.003175020217895508,0.0,110110000011,++-++-----++,0,True,"[[2.4e-05, 35.33107351], [0.003175, 27.60067201]]",35,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,12,-66.0,25.752627030709,0.0,2,0.0041561126708984375,0.0030782222747802734,0.0,101001111000,+-+--++++---,0,True,"[[2.5e-05, 32.41579814], [0.003078, 25.75262703]]",36,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,12,-66.0,26.952118493915,0.0,2,0.012778997421264648,0.011811017990112305,0.0,100010011101,+---+--+++-+,0,True,"[[2.5e-05, 31.24847873], [0.011811, 26.95211849]]",37,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,12,-66.0,26.082382917497,0.0,2,0.012161016464233398,0.011091947555541992,0.0,101001011100,+-+--+-+++--,0,True,"[[2.4e-05, 31.60966781], [0.011092, 26.08238292]]",38,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,12,-66.0,29.256626656304004,0.0,2,0.004421234130859375,0.0032880306243896484,0.0,100001100111,+----++--+++,0,True,"[[2.5e-05, 40.32858422], [0.003288, 29.25662666]]",39,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,12,-66.0,26.034964627046005,0.0,2,0.004208087921142578,0.003147125244140625,0.0,101111100000,+-+++++-----,0,True,"[[2.5e-05, 27.03905801], [0.003147, 26.03496463]]",40,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,12,-66.0,32.99186281362202,0.0,2,0.004408121109008789,0.003329038619995117,0.0,101010001110,+-+-+---+++-,0,True,"[[2.4e-05, 39.66825182], [0.003329, 32.99186281]]",41,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,12,-66.0,32.48079053542602,0.0,2,0.004183053970336914,0.0031211376190185547,0.0,111101010000,++++-+-+----,0,True,"[[2.4e-05, 34.2084696], [0.003121, 32.48079054]]",42,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,12,-66.0,24.133752643233997,0.0,2,0.004143953323364258,0.003139019012451172,0.0,100010110011,+---+-++--++,0,True,"[[2.4e-05, 29.84939858], [0.003139, 24.13375264]]",43,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,12,-66.0,31.247662138817,0.0,2,0.006223917007446289,0.005099058151245117,0.0,100011100101,+---+++--+-+,0,True,"[[2.5e-05, 40.43310821], [0.005099, 31.24766214]]",44,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,12,-66.0,31.83523660348799,0.0,2,0.004397869110107422,0.0032498836517333984,0.0,100100100111,+--+--+--+++,0,True,"[[2.5e-05, 36.1395043], [0.00325, 31.8352366]]",45,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,12,-66.0,28.38882987287801,0.0,2,0.004976034164428711,0.003958940505981445,0.0,100010001111,+---+---++++,0,True,"[[2.5e-05, 34.44616682], [0.003959, 28.38882987]]",46,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,12,-66.0,34.24639527833897,0.0,2,0.006955862045288086,0.005913972854614258,0.0,111001000101,+++--+---+-+,0,True,"[[2.5e-05, 42.22311238], [0.005914, 34.24639528]]",47,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,12,-66.0,29.352981206389988,0.0,2,0.004355907440185547,0.00327301025390625,0.0,100001101101,+----++-++-+,0,True,"[[2.4e-05, 33.9065543], [0.003273, 29.35298121]]",48,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
precond_p=inf,12,-66.0,29.829168161196996,0.0,2,0.004400968551635742,0.00327301025390625,0.0,110101001001,++-+-+--+--+,0,True,"[[2.4e-05, 38.28811164], [0.003273, 29.82916816]]",49,inf,quantum,/local/scratch/a/rames102/Gurobi_QP/one_equality/complete_random
