name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,trajectory,seed,preconditioner_family,layers,sweeps,data_root
baseline,8,13.458061722447997,13.458061722448,,2,0.0305631160736084,0.010642051696777344,0.0,01111000,-++++---,0,False,"[[0.00016, 16.2904225], [0.010642, 13.45806172]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,8,4.0,16.290422502908,0.0,2,0.01979804039001465,7.987022399902344e-05,0.0,11110000,++++----,0,False,"[[8e-05, 16.2904225]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,8,4.0,16.290422502908,0.2,2,0.02710700035095215,7.605552673339844e-05,0.0,11110000,++++----,0,False,"[[7.6e-05, 16.2904225]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,8,2.0,16.290422502908,0.4,2,0.054377079010009766,0.00011396408081054688,0.0,11110000,++++----,0,False,"[[0.000114, 16.2904225]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,8,2.0,16.290422502908,0.6,2,0.03540205955505371,8.893013000488281e-05,0.0,11110000,++++----,0,False,"[[8.9e-05, 16.2904225]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,8,2.0,16.290422502908,0.8,2,0.02950000762939453,8.702278137207031e-05,0.0,11110000,++++----,0,False,"[[8.7e-05, 16.2904225]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,8,2.0,16.290422502908,1.0,2,0.04532480239868164,7.796287536621094e-05,0.0,11110000,++++----,0,False,"[[7.8e-05, 16.2904225]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,8,12.603015254315002,12.603015254314998,,2,0.04391002655029297,0.019108057022094727,0.0,01010110,-+-+-++-,0,False,"[[7.7e-05, 13.90169322], [0.019108, 12.60301525]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,8,4.0,13.901693215555,0.0,2,0.02484297752380371,0.0001010894775390625,0.0,11110000,++++----,0,False,"[[0.000101, 13.90169322]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,8,4.0,13.901693215555,0.2,2,0.014863967895507812,7.796287536621094e-05,0.0,11110000,++++----,0,False,"[[7.8e-05, 13.90169322]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,8,4.0,13.901693215555,0.4,2,0.027833938598632812,9.107589721679688e-05,0.0,11110000,++++----,0,False,"[[9.1e-05, 13.90169322]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,8,1.9999999999999964,13.901693215555,0.6,2,0.06865501403808594,8.797645568847656e-05,0.0,11110000,++++----,0,False,"[[8.8e-05, 13.90169322]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,8,2.0,13.901693215555,0.8,2,0.05960416793823242,7.915496826171875e-05,0.0,11110000,++++----,0,False,"[[7.9e-05, 13.90169322]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,8,-4.0,13.901693215555,1.0,2,0.02144789695739746,6.794929504394531e-05,0.0,11110000,++++----,0,False,"[[6.8e-05, 13.90169322]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,8,13.688449773332003,13.688449773331996,,2,0.026205778121948242,0.005363941192626953,0.0,10110010,+-++--+-,0,False,"[[8.2e-05, 15.10648738], [0.005364, 13.68844977]]",2,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,8,4.0,15.10648737867,0.0,2,0.015250921249389648,6.4849853515625e-05,0.0,11110000,++++----,0,False,"[[6.5e-05, 15.10648738]]",2,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,8,4.0,15.10648737867,0.2,2,0.017148971557617188,7.796287536621094e-05,0.0,11110000,++++----,0,False,"[[7.8e-05, 15.10648738]]",2,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,8,2.213999999999995,15.10648737867,0.4,2,0.05219006538391113,0.00013184547424316406,0.0,11110000,++++----,0,False,"[[0.000132, 15.10648738]]",2,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,8,2.0000000000000018,15.10648737867,0.6,2,0.0675210952758789,7.700920104980469e-05,0.0,11110000,++++----,0,False,"[[7.7e-05, 15.10648738]]",2,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,8,1.0700000000000038,15.10648737867,0.8,2,0.030724048614501953,7.700920104980469e-05,0.0,11110000,++++----,0,False,"[[7.7e-05, 15.10648738]]",2,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,8,0.020000000000003126,15.10648737867,1.0,2,0.059545040130615234,7.700920104980469e-05,0.0,11110000,++++----,0,False,"[[7.7e-05, 15.10648738]]",2,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,8,12.505921492349005,12.505921492349003,,2,0.033477783203125,0.014750957489013672,0.0,10011001,+--++--+,0,False,"[[9.2e-05, 15.26295569], [0.014589, 15.12432008], [0.014751, 12.50592149]]",3,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,8,4.0,15.262955694096991,0.0,2,0.014189004898071289,0.0001418590545654297,0.0,11110000,++++----,0,False,"[[0.000142, 15.26295569]]",3,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,8,4.0,15.262955694096991,0.2,2,0.01793694496154785,7.700920104980469e-05,0.0,11110000,++++----,0,False,"[[7.7e-05, 15.26295569]]",3,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,8,4.0,15.262955694096991,0.4,2,0.015060901641845703,8.392333984375e-05,0.0,11110000,++++----,0,False,"[[8.4e-05, 15.26295569]]",3,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,8,2.0,15.262955694096991,0.6,2,0.02395796775817871,7.796287536621094e-05,0.0,11110000,++++----,0,False,"[[7.8e-05, 15.26295569]]",3,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,8,2.0,15.262955694096991,0.8,2,0.04787492752075195,7.796287536621094e-05,0.0,11110000,++++----,0,False,"[[7.8e-05, 15.26295569]]",3,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,8,2.0,15.262955694096991,1.0,2,0.04436612129211426,9.417533874511719e-05,0.0,11110000,++++----,0,False,"[[9.4e-05, 15.26295569]]",3,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,8,16.080414694943997,16.080414694944004,,2,0.028406858444213867,0.0025758743286132812,0.0,11010100,++-+-+--,0,False,"[[0.000158, 19.81287321], [0.002576, 16.08041469]]",4,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,8,4.0,19.812873212533997,0.0,2,0.020968914031982422,8.296966552734375e-05,0.0,11110000,++++----,0,False,"[[8.3e-05, 19.81287321]]",4,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,8,4.0,19.812873212533997,0.2,2,0.0203549861907959,7.510185241699219e-05,0.0,11110000,++++----,0,False,"[[7.5e-05, 19.81287321]]",4,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,8,4.0,19.812873212533997,0.4,2,0.016453981399536133,6.818771362304688e-05,0.0,11110000,++++----,0,False,"[[6.8e-05, 19.81287321]]",4,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,8,4.0,19.812873212533997,0.6,2,0.015439033508300781,5.91278076171875e-05,0.0,11110000,++++----,0,False,"[[5.9e-05, 19.81287321]]",4,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,8,2.0,19.812873212533997,0.8,2,0.03829693794250488,7.796287536621094e-05,0.0,11110000,++++----,0,False,"[[7.8e-05, 19.81287321]]",4,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,8,2.0,19.812873212533997,1.0,2,0.03603196144104004,7.915496826171875e-05,0.0,11110000,++++----,0,False,"[[7.9e-05, 19.81287321]]",4,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,8,13.910755661514001,13.910755661514003,,2,0.0291140079498291,0.012736082077026367,0.0,10110010,+-++--+-,0,False,"[[7.8e-05, 15.28890653], [0.012736, 13.91075566]]",5,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,8,4.0,15.288906528498002,0.0,2,0.024204015731811523,8.296966552734375e-05,0.0,11110000,++++----,0,False,"[[8.3e-05, 15.28890653]]",5,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,8,4.0,15.288906528498002,0.2,2,0.0161898136138916,7.796287536621094e-05,0.0,11110000,++++----,0,False,"[[7.8e-05, 15.28890653]]",5,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,8,4.0,15.288906528498002,0.4,2,0.018333911895751953,8.106231689453125e-05,0.0,11110000,++++----,0,False,"[[8.1e-05, 15.28890653]]",5,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,8,1.9999999999999964,15.288906528498002,0.6,2,0.039732933044433594,0.00010395050048828125,0.0,11110000,++++----,0,False,"[[0.000104, 15.28890653]]",5,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,8,1.9579999999999966,15.288906528498002,0.8,2,0.048790931701660156,0.00013589859008789062,0.0,11110000,++++----,0,False,"[[0.000136, 15.28890653]]",5,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,8,-2.866,15.288906528498002,1.0,2,0.03505396842956543,9.107589721679688e-05,0.0,11110000,++++----,0,False,"[[9.1e-05, 15.28890653]]",5,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,8,12.335214894007994,12.335214894008002,,2,0.03491997718811035,0.01380610466003418,0.0,11000011,++----++,0,False,"[[8.4e-05, 15.20531646], [0.01367, 14.0789663], [0.013806, 12.33521489]]",6,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,8,4.0,15.205316463442,0.0,2,0.018086910247802734,0.00022411346435546875,0.0,11110000,++++----,0,False,"[[0.000224, 15.20531646]]",6,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,8,4.0,15.205316463442,0.2,2,0.01241612434387207,7.796287536621094e-05,0.0,11110000,++++----,0,False,"[[7.8e-05, 15.20531646]]",6,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,8,4.0,15.205316463442,0.4,2,0.012924909591674805,7.987022399902344e-05,0.0,11110000,++++----,0,False,"[[8e-05, 15.20531646]]",6,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
