name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,all_feasible,orig_traj,gurobi_log,seed,layers,data_root
baseline,24,130.1153685081999,130.11536850820013,,2,5.803323984146118,0.07873010635375977,0.0,111001011110010101000001,+++--+-++++--+-+-+-----+,0,False,"[[0.0059070587158203125, 151.31257108623217], [0.07873010635375977, 130.11536850820013]]","[[0.0059070587158203125, 151.31257108623217], [0.07873010635375977, 130.11536850820013]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:19:25 2026

",0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,24,-1.4947408119550545,130.82748979169813,0.0,2,-1.625722885131836,0.008419990539550781,0.0,111001110110010101000001,+++--+++-++--+-+-+-----+,0,False,"[[8.106231689453125e-05, 151.31257108623217], [0.006140947341918945, 150.01786999890615], [0.006852149963378906, 142.8858199057121], [0.008419990539550781, 130.82748979169813]]","[[8.106231689453125e-05, 151.31257108623217], [0.006140947341918945, 150.01786999890615], [0.006852149963378906, 142.8858199057121], [0.008419990539550781, 130.82748979169813]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:19:31 2026

",0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,24,-12.04431858352099,130.82748979169813,0.2,2,0.46697115898132324,0.007783174514770508,0.0,111001110110010101000001,+++--+++-++--+-+-+-----+,0,False,"[[5.507469177246094e-05, 151.31257108623217], [0.0064280033111572266, 149.52603016015613], [0.007277011871337891, 142.8858199057121], [0.007783174514770508, 130.82748979169813]]","[[5.507469177246094e-05, 151.31257108623217], [0.0064280033111572266, 149.52603016015613], [0.007277011871337891, 142.8858199057121], [0.007783174514770508, 130.82748979169813]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:19:30 2026

",0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,24,-14.706421828934005,130.82748979169813,0.3,2,0.4097449779510498,0.014343976974487305,0.0,111001110110010101000001,+++--+++-++--+-+-+-----+,0,False,"[[0.00011181831359863281, 151.31257108623217], [0.011482954025268555, 143.75220831593023], [0.014343976974487305, 130.82748979169813]]","[[0.00011181831359863281, 151.31257108623217], [0.011482954025268555, 143.75220831593023], [0.014343976974487305, 130.82748979169813]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:19:30 2026

",0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,24,-9.272235415161006,130.11536850820013,0.4,2,0.5817558765411377,0.014930009841918945,0.0,000110100001101010111110,---++-+----++-+-+-+++++-,0,False,"[[0.0001049041748046875, 151.31257108623217], [0.013843059539794922, 141.0275442563201], [0.014930009841918945, 130.11536850820013]]","[[0.0001049041748046875, 151.31257108623217], [0.013843059539794922, 141.0275442563201], [0.014930009841918945, 130.11536850820013]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:19:31 2026

",0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,24,-5.145950965941994,130.11536850820013,0.5,2,0.6367847919464111,0.01994490623474121,0.0,000110100001101010111110,---++-+----++-+-+-+++++-,0,False,"[[0.00018906593322753906, 151.31257108623217], [0.018671035766601562, 144.06945198739018], [0.01994490623474121, 130.11536850820013]]","[[0.00018906593322753906, 151.31257108623217], [0.018671035766601562, 144.06945198739018], [0.01994490623474121, 130.11536850820013]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:19:31 2026

",0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,24,-3.478392773821005,130.11536850820013,0.6,2,1.0669291019439697,0.016518115997314453,0.0,000110100001101010111110,---++-+----++-+-+-+++++-,0,False,"[[0.00011420249938964844, 151.31257108623217], [0.015508174896240234, 139.2356380525321], [0.016518115997314453, 130.11536850820013]]","[[0.00011420249938964844, 151.31257108623217], [0.015508174896240234, 139.2356380525321], [0.016518115997314453, 130.11536850820013]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:19:32 2026

",0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,24,-2.212987163624012,130.11536850820013,0.8,2,0.9668359756469727,0.01654982566833496,0.0,000110100001101010111110,---++-+----++-+-+-+++++-,0,False,"[[0.00010204315185546875, 151.31257108623217], [0.01654982566833496, 130.11536850820013]]","[[0.00010204315185546875, 151.31257108623217], [0.01654982566833496, 130.11536850820013]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:19:33 2026

",0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,24,121.02014177323395,121.0201417732341,,2,4.860463857650757,0.012126922607421875,0.0,111011010101000000011101,+++-++-+-+-+-------+++-+,0,False,"[[9.083747863769531e-05, 151.8599320159979], [0.011020898818969727, 148.32766762679177], [0.012126922607421875, 121.0201417732341]]","[[9.083747863769531e-05, 151.8599320159979], [0.011020898818969727, 148.32766762679177], [0.012126922607421875, 121.0201417732341]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:19:34 2026

",1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,24,-0.5222996577961254,121.24790097132205,0.0,2,1.4158940315246582,0.009665966033935547,0.0,111011001101000000001111,+++-++--++-+--------++++,0,False,"[[8.606910705566406e-05, 151.8599320159979], [0.007586956024169922, 148.46497423423597], [0.008927106857299805, 143.11929873914585], [0.009665966033935547, 121.24790097132205]]","[[8.606910705566406e-05, 151.8599320159979], [0.007586956024169922, 148.46497423423597], [0.008927106857299805, 143.11929873914585], [0.009665966033935547, 121.24790097132205]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:19:39 2026

",1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,24,-10.663077285523983,121.03008842867203,0.2,2,0.4160318374633789,0.01058197021484375,0.0,000100101010101111110010,---+--+-+-+-+-++++++--+-,0,False,"[[8.797645568847656e-05, 151.8599320159979], [0.009023904800415039, 129.73530940107798], [0.01058197021484375, 121.03008842867203]]","[[8.797645568847656e-05, 151.8599320159979], [0.009023904800415039, 129.73530940107798], [0.01058197021484375, 121.03008842867203]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:19:41 2026

",1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,24,-11.617263525246,121.03008842867203,0.3,2,0.315061092376709,0.05270504951477051,0.0,000100101010101111110010,---+--+-+-+-+-++++++--+-,0,False,"[[8.606910705566406e-05, 151.8599320159979], [0.010144948959350586, 137.14112088719617], [0.011337995529174805, 135.74296882536993], [0.013081073760986328, 121.24790097132205], [0.05270504951477051, 121.03008842867203]]","[[8.606910705566406e-05, 151.8599320159979], [0.010144948959350586, 137.14112088719617], [0.011337995529174805, 135.74296882536993], [0.013081073760986328, 121.24790097132205], [0.05270504951477051, 121.03008842867203]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:19:41 2026

",1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,24,-6.5533771279879875,121.03008842867203,0.4,2,0.5067582130432129,0.012346029281616211,8.617369644134252e-05,111011010101010000001101,+++-++-+-+-+-+------++-+,0,False,"[[7.581710815429688e-05, 151.8599320159979], [0.010212898254394531, 139.07169976134827], [0.011245965957641602, 135.74296882536993], [0.012346029281616211, 121.03008842867203]]","[[7.581710815429688e-05, 151.8599320159979], [0.010212898254394531, 139.07169976134827], [0.011245965957641602, 135.74296882536993], [0.012346029281616211, 121.03008842867203]]","
Gurobi 11.0.2 (linux64) logging started Wed Mar  4 12:19:42 2026

",1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
