seed,layers,sweeps,preconditioner_family,name,penalty,presolve,event_idx,time_sec,orig_obj,running_best_orig_obj
0,,1000,classical,baseline,,False,0,6.7e-05,216.86669539,216.86669539
0,,1000,classical,baseline,,False,1,0.015367,214.65240716,214.65240716
0,,1000,classical,baseline,,False,2,0.016321,176.91274938,176.91274938
0,,1000,classical,precond_pen=0.000,0.0,False,0,5.3e-05,216.86669539,216.86669539
0,,1000,classical,precond_pen=0.200,0.2,False,0,4.8e-05,216.86669539,216.86669539
0,,1000,classical,precond_pen=0.400,0.4,False,0,4.6e-05,216.86669539,216.86669539
0,,1000,classical,precond_pen=0.600,0.6,False,0,4.6e-05,216.86669539,216.86669539
0,,1000,classical,precond_pen=0.800,0.8,False,0,0.000569,216.86669539,216.86669539
0,,1000,classical,precond_pen=1.000,1.0,False,0,5.6e-05,216.86669539,216.86669539
1,,1000,classical,baseline,,False,0,0.000149,189.51579027,189.51579027
1,,1000,classical,baseline,,False,1,0.007921,188.53795766,188.53795766
1,,1000,classical,baseline,,False,2,0.008617,165.80522431,165.80522431
1,,1000,classical,baseline,,False,3,0.157223,165.52263042,165.52263042
1,,1000,classical,baseline,,False,4,1.566566,164.80784601,164.80784601
1,,1000,classical,baseline,,False,5,20.343846,164.34075451,164.34075451
1,,1000,classical,precond_pen=0.000,0.0,False,0,6.6e-05,189.51579027,189.51579027
1,,1000,classical,precond_pen=0.200,0.2,False,0,5.7e-05,189.51579027,189.51579027
1,,1000,classical,precond_pen=0.400,0.4,False,0,5.8e-05,189.51579027,189.51579027
1,,1000,classical,precond_pen=0.600,0.6,False,0,5.3e-05,189.51579027,189.51579027
1,,1000,classical,precond_pen=0.800,0.8,False,0,0.000118,189.51579027,189.51579027
1,,1000,classical,precond_pen=1.000,1.0,False,0,5.1e-05,189.51579027,189.51579027
2,,1000,classical,baseline,,False,0,6.5e-05,184.10834611,184.10834611
2,,1000,classical,baseline,,False,1,0.009355,171.96795728,171.96795728
2,,1000,classical,baseline,,False,2,1.159029,170.49116379,170.49116379
2,,1000,classical,baseline,,False,3,1.798812,170.17191431,170.17191431
2,,1000,classical,baseline,,False,4,2.14872,165.7982707,165.7982707
2,,1000,classical,precond_pen=0.000,0.0,False,0,5.3e-05,184.10834611,184.10834611
2,,1000,classical,precond_pen=0.200,0.2,False,0,5.1e-05,184.10834611,184.10834611
2,,1000,classical,precond_pen=0.400,0.4,False,0,5e-05,184.10834611,184.10834611
2,,1000,classical,precond_pen=0.600,0.6,False,0,6.8e-05,184.10834611,184.10834611
