name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,seed,layers,data_root
precond_pen=0.500,20,-3.4431498465499946,86.18601616309805,0.5,2,0.419111967086792,0.2272191047668457,0.0,10110010001011001011,+-++--+---+-++--+-++,0,False,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.600,20,-2.468589735344999,86.18601616309805,0.6,2,0.59346604347229,0.008820056915283203,0.0,10110010001011001011,+-++--+---+-++--+-++,0,False,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.700,20,-1.9686331241790214,86.18601616309805,0.7,2,0.6749749183654785,0.593297004699707,0.0,10110010001011001011,+-++--+---+-++--+-++,0,False,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.800,20,-1.6685638973569912,86.18601616309805,0.8,2,0.7030091285705566,0.014925003051757812,0.0,10110010001011001011,+-++--+---+-++--+-++,0,False,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=1.000,20,-1.3260630318900013,86.18601616309805,1.0,2,1.019698143005371,0.9228391647338867,0.0,10110010001011001011,+-++--+---+-++--+-++,0,False,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,20,85.67646959644996,85.67646959644996,,2,1.2487399578094482,0.09366583824157715,0.0,00000110111101100101,-----++-++++-++--+-+,0,False,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.000,20,0.06123318792499788,85.67646959644996,0.0,2,0.6140990257263184,0.4265902042388916,0.0,00000110111101100101,-----++-++++-++--+-+,0,False,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,20,-8.225061868029002,85.67646959644996,0.2,2,0.3040769100189209,0.008669853210449219,0.0,00000110111101100101,-----++-++++-++--+-+,0,False,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,20,-9.667288927748999,85.67646959644996,0.3,2,0.23628592491149902,0.005378007888793945,0.0,00000110111101100101,-----++-++++-++--+-+,0,False,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,20,-5.635000498652994,85.67646959644996,0.4,2,0.2596118450164795,0.02520895004272461,3.927679825698411e-05,00000110111101100101,-----++-++++-++--+-+,0,False,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.500,20,-3.343384835715005,85.67646959644996,0.5,2,0.40195584297180176,0.34078001976013184,0.0,00000110111101100101,-----++-++++-++--+-+,0,False,3,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
