name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,time_to_best_sec,mip_gap,x_bits,z_bits,sum_z,presolve,trajectory,seed,preconditioner_family,layers,sweeps,data_root
baseline,32,239.69424566937104,239.69424566937104,,2,392.88400292396545,79.94847106933594,0.0,01011100111000100101111110001000,-+-+++--+++---+--+-++++++---+---,0,False,"[[5.4e-05, 274.21960198], [0.012391, 271.60958523], [0.012734, 271.59475237], [0.013363, 243.78373506], [0.111761, 241.81990558], [8.553482, 240.97907551], [14.053074, 240.83146291], [71.643292, 240.63633596], [74.849616, 240.15122819], [79.948471, 239.69424567]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.000,32,16.0,274.21960197855714,0.0,2,0.16696691513061523,5.4836273193359375e-05,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[5.5e-05, 274.21960198]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.200,32,16.0,274.21960197855714,0.2,2,0.15618205070495605,7.700920104980469e-05,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[7.7e-05, 274.21960198]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.400,32,16.0,274.21960197855714,0.4,2,0.13719415664672852,6.413459777832031e-05,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[6.4e-05, 274.21960198]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.600,32,16.0,274.21960197855714,0.6,2,0.14798402786254883,7.796287536621094e-05,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[7.8e-05, 274.21960198]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.800,32,16.0,274.21960197855714,0.8,2,0.14411711692810059,7.295608520507812e-05,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[7.3e-05, 274.21960198]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=1.000,32,16.0,274.21960197855714,1.0,2,0.13054299354553223,4.315376281738281e-05,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[4.3e-05, 274.21960198]]",0,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
baseline,32,215.2195711898321,215.21957118983227,,2,166.08078908920288,0.009809017181396484,0.0,01110010011111110001011000001100,-+++--+--+++++++---+-++-----++--,0,False,"[[7.6e-05, 246.70341481], [0.009809, 215.21957119]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.000,32,16.0,246.70341481327208,0.0,2,0.22342801094055176,8.296966552734375e-05,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[8.3e-05, 246.70341481]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.200,32,16.0,246.70341481327208,0.2,2,0.20217299461364746,5.507469177246094e-05,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[5.5e-05, 246.70341481]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.400,32,16.0,246.70341481327208,0.4,2,0.22440409660339355,0.00017905235290527344,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[0.000179, 246.70341481]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.600,32,16.0,246.70341481327208,0.6,2,0.15556597709655762,5.4836273193359375e-05,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[5.5e-05, 246.70341481]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.800,32,16.0,246.70341481327208,0.8,2,0.15475201606750488,7.891654968261719e-05,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[7.9e-05, 246.70341481]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=1.000,32,16.0,246.70341481327208,1.0,2,0.14729785919189453,4.601478576660156e-05,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[4.6e-05, 246.70341481]]",1,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
baseline,32,220.5764846179209,220.5764846179211,,2,246.7806339263916,200.66454195976257,0.0,11010100100101010010100110111010,++-+-+--+--+-+-+--+-+--++-+++-+-,0,False,"[[4.5e-05, 248.30668298], [0.005864, 244.58804337], [0.006485, 242.77635176], [0.007217, 221.5676483], [0.142137, 220.81580586], [200.664542, 220.57648462]]",2,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.000,32,16.0,248.30668298166694,0.0,2,0.15810513496398926,7.009506225585938e-05,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[7e-05, 248.30668298]]",2,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.200,32,16.0,248.30668298166694,0.2,2,0.16239595413208008,8.893013000488281e-05,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[8.9e-05, 248.30668298]]",2,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.400,32,16.0,248.30668298166694,0.4,2,0.1576831340789795,7.390975952148438e-05,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[7.4e-05, 248.30668298]]",2,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.600,32,16.0,248.30668298166694,0.6,2,0.20627284049987793,5.698204040527344e-05,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[5.7e-05, 248.30668298]]",2,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.800,32,16.0,248.30668298166694,0.8,2,0.15994715690612793,9.799003601074219e-05,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[9.8e-05, 248.30668298]]",2,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=1.000,32,16.0,248.30668298166694,1.0,2,0.13168907165527344,4.100799560546875e-05,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[4.1e-05, 248.30668298]]",2,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
baseline,32,219.25095850815893,219.25095850815893,,2,217.86590695381165,0.013020038604736328,0.0,11111010010001100001011000111010,+++++-+--+---++----+-++---+++-+-,0,False,"[[7.4e-05, 255.7771439], [0.009449, 248.90013296], [0.011901, 247.66784708], [0.01302, 219.25095851]]",3,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.000,32,16.0,255.77714390279343,0.0,2,0.15916895866394043,8.296966552734375e-05,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[8.3e-05, 255.7771439]]",3,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.200,32,16.0,255.77714390279343,0.2,2,0.15025901794433594,7.510185241699219e-05,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[7.5e-05, 255.7771439]]",3,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.400,32,16.0,255.77714390279343,0.4,2,0.1470339298248291,0.00010895729064941406,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[0.000109, 255.7771439]]",3,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.600,32,16.0,255.77714390279343,0.6,2,0.14052319526672363,7.82012939453125e-05,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[7.8e-05, 255.7771439]]",3,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=0.800,32,16.0,255.77714390279343,0.8,2,0.13046693801879883,7.605552673339844e-05,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[7.6e-05, 255.7771439]]",3,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
precond_pen=1.000,32,16.0,255.77714390279343,1.0,2,0.15128803253173828,5.817413330078125e-05,0.0,11111111111111110000000000000000,++++++++++++++++----------------,0,False,"[[5.8e-05, 255.7771439]]",3,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
baseline,32,241.73345299268695,241.73345299268692,,2,271.397824048996,0.11597585678100586,0.0,11010111110001100010100101001010,++-+-+++++---++---+-+--+-+--+-+-,0,False,"[[7.7e-05, 271.54479011], [0.006533, 242.36154528], [0.115976, 241.73345299]]",4,classical,,100,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality_new/complete_random
