seed,layers,sweeps,preconditioner_family,name,penalty,presolve,event_idx,time_sec,orig_obj,running_best_orig_obj
0,,10,classical,baseline,,True,0,6.6e-05,151.31257109,151.31257109
0,,10,classical,baseline,,True,1,0.055456,130.11536851,130.11536851
0,,10,classical,precond_pen=0.000,0.0,True,0,8.1e-05,151.31257109,151.31257109
0,,10,classical,precond_pen=0.200,0.2,True,0,8.4e-05,151.31257109,151.31257109
0,,10,classical,precond_pen=0.400,0.4,True,0,5.7e-05,151.31257109,151.31257109
0,,10,classical,precond_pen=0.600,0.6,True,0,5.2e-05,151.31257109,151.31257109
0,,10,classical,precond_pen=0.800,0.8,True,0,6.8e-05,151.31257109,151.31257109
0,,10,classical,precond_pen=1.000,1.0,True,0,4.5e-05,151.31257109,151.31257109
1,,10,classical,baseline,,True,0,7.3e-05,151.85993202,151.85993202
1,,10,classical,baseline,,True,1,0.017878,148.32766763,148.32766763
1,,10,classical,baseline,,True,2,0.018842,121.02014177,121.02014177
1,,10,classical,precond_pen=0.000,0.0,True,0,5.4e-05,151.85993202,151.85993202
1,,10,classical,precond_pen=0.200,0.2,True,0,5.9e-05,151.85993202,151.85993202
1,,10,classical,precond_pen=0.400,0.4,True,0,0.000105,151.85993202,151.85993202
1,,10,classical,precond_pen=0.600,0.6,True,0,6.1e-05,151.85993202,151.85993202
1,,10,classical,precond_pen=0.800,0.8,True,0,4.4e-05,151.85993202,151.85993202
1,,10,classical,precond_pen=1.000,1.0,True,0,4.8e-05,151.85993202,151.85993202
2,,10,classical,baseline,,True,0,7.9e-05,146.89416462,146.89416462
2,,10,classical,baseline,,True,1,0.019407,145.95484003,145.95484003
2,,10,classical,baseline,,True,2,0.020805,145.34607912,145.34607912
2,,10,classical,baseline,,True,3,0.022035,141.85119029,141.85119029
2,,10,classical,baseline,,True,4,0.023364,119.81107703,119.81107703
2,,10,classical,precond_pen=0.000,0.0,True,0,7.3e-05,146.89416462,146.89416462
2,,10,classical,precond_pen=0.200,0.2,True,0,9.1e-05,146.89416462,146.89416462
2,,10,classical,precond_pen=0.400,0.4,True,0,4.9e-05,146.89416462,146.89416462
2,,10,classical,precond_pen=0.600,0.6,True,0,6.2e-05,146.89416462,146.89416462
2,,10,classical,precond_pen=0.800,0.8,True,0,4.9e-05,146.89416462,146.89416462
2,,10,classical,precond_pen=1.000,1.0,True,0,3.8e-05,146.89416462,146.89416462
3,,10,classical,baseline,,True,0,7.7e-05,146.3517384,146.3517384
3,,10,classical,baseline,,True,1,0.017632,144.71892395,144.71892395
3,,10,classical,baseline,,True,2,0.019188,144.12851781,144.12851781
3,,10,classical,baseline,,True,3,0.020658,125.6295774,125.6295774
3,,10,classical,precond_pen=0.000,0.0,True,0,5.6e-05,146.3517384,146.3517384
3,,10,classical,precond_pen=0.200,0.2,True,0,7.6e-05,146.3517384,146.3517384
3,,10,classical,precond_pen=0.400,0.4,True,0,4.8e-05,146.3517384,146.3517384
3,,10,classical,precond_pen=0.600,0.6,True,0,7.3e-05,146.3517384,146.3517384
3,,10,classical,precond_pen=0.800,0.8,True,0,3.9e-05,146.3517384,146.3517384
3,,10,classical,precond_pen=1.000,1.0,True,0,6.2e-05,146.3517384,146.3517384
4,,10,classical,baseline,,True,0,8.4e-05,163.78368209,163.78368209
4,,10,classical,baseline,,True,1,0.01331,163.51955531,163.51955531
4,,10,classical,baseline,,True,2,0.014324,141.19074867,141.19074867
4,,10,classical,baseline,,True,3,0.968162,139.47165956,139.47165956
4,,10,classical,baseline,,True,4,1.040098,137.49819129,137.49819129
4,,10,classical,precond_pen=0.000,0.0,True,0,8.6e-05,163.78368209,163.78368209
4,,10,classical,precond_pen=0.200,0.2,True,0,5.1e-05,163.78368209,163.78368209
4,,10,classical,precond_pen=0.400,0.4,True,0,4.7e-05,163.78368209,163.78368209
4,,10,classical,precond_pen=0.600,0.6,True,0,7.1e-05,163.78368209,163.78368209
4,,10,classical,precond_pen=0.800,0.8,True,0,8.2e-05,163.78368209,163.78368209
4,,10,classical,precond_pen=1.000,1.0,True,0,5.9e-05,163.78368209,163.78368209
5,,10,classical,baseline,,True,0,8.8e-05,139.48194045,139.48194045
5,,10,classical,baseline,,True,1,0.011932,122.92375639,122.92375639
5,,10,classical,baseline,,True,2,0.185715,120.60887359,120.60887359
5,,10,classical,precond_pen=0.000,0.0,True,0,5e-05,139.48194045,139.48194045
5,,10,classical,precond_pen=0.200,0.2,True,0,6.4e-05,139.48194045,139.48194045
5,,10,classical,precond_pen=0.400,0.4,True,0,3.9e-05,139.48194045,139.48194045
5,,10,classical,precond_pen=0.600,0.6,True,0,4.5e-05,139.48194045,139.48194045
5,,10,classical,precond_pen=0.800,0.8,True,0,4.2e-05,139.48194045,139.48194045
5,,10,classical,precond_pen=1.000,1.0,True,0,8.1e-05,139.48194045,139.48194045
6,,10,classical,baseline,,True,0,0.000161,149.48860608,149.48860608
6,,10,classical,baseline,,True,1,0.034398,149.45673148,149.45673148
6,,10,classical,baseline,,True,2,0.035851,124.94988981,124.94988981
6,,10,classical,precond_pen=0.000,0.0,True,0,7e-05,149.48860608,149.48860608
6,,10,classical,precond_pen=0.200,0.2,True,0,4.4e-05,149.48860608,149.48860608
6,,10,classical,precond_pen=0.400,0.4,True,0,5.3e-05,149.48860608,149.48860608
6,,10,classical,precond_pen=0.600,0.6,True,0,0.000106,149.48860608,149.48860608
6,,10,classical,precond_pen=0.800,0.8,True,0,7.9e-05,149.48860608,149.48860608
6,,10,classical,precond_pen=1.000,1.0,True,0,5.6e-05,149.48860608,149.48860608
