name,n,objective_model,objective_baseline,penalty,mip_status,runtime_sec,mip_gap,x_bits,z_bits,sum_z,seed,layers,data_root
baseline,28,176.91274938179578,176.91274938179572,,2,12.481772899627686,0.0,1110001111000001101010011001,+++---++++-----++-+-+--++--+,0,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,28,-14.285707591980973,176.91274938179572,0.2,2,0.667290210723877,0.0,1110001111000001101010011001,+++---++++-----++-+-+--++--+,0,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,28,-17.083643959199996,177.5428095635158,0.3,2,0.2354588508605957,0.0,0101110000011110010101100110,-+-+++-----++++--+-+-++--++-,0,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,28,-10.328082633020003,177.07575315111183,0.4,2,0.261613130569458,0.0,0101110000011100010111100110,-+-+++-----+++---+-++++--++-,0,0,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,28,164.34075451243584,164.3407545124361,,2,34.12530303001404,0.0,0101110010111000100110110100,-+-+++--+-+++---+--++-++-+--,0,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,28,-11.468184584270023,164.95918571790793,0.2,2,0.5538840293884277,0.0,0011011000001111110101000011,--++-++-----++++++-+-+----++,0,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.300,28,-12.19346445312699,164.80784600685183,0.3,2,0.39406394958496094,0.0,0100110001111001101110101000,-+--++---++++--++-+++-+-+---,0,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.400,28,-6.912201292166008,164.80784600685183,0.4,2,0.6719810962677002,0.0,0100110001111001101110101000,-+--++---++++--++-+++-+-+---,0,1,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
baseline,28,165.79827070364917,165.798270703649,,2,13.07165789604187,0.0,0101001111100110101010000110,-+-+--+++++--++-+-+-+----++-,0,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
precond_pen=0.200,28,-13.431894279267997,165.84205169187703,0.2,2,0.5667128562927246,0.0,0101001111000110101110000110,-+-+--++++---++-+-+++----++-,0,2,1,/mnt/c/Users/rames102/Desktop/Gurobi_QP/one_equality/complete_random
